"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","input_string"
"P9","solo",1,"e","grab",99.6451,638249390193789911,638249390194786362,"Regular Blue CubeClone252 was picked up"
"P9","solo",1,"e","grab",340.0812,638249390221527145,638249390224927957,"Regular Red CubeClone253 was picked up"
"P9","solo",1,"e","grab",31.0017,638249390248477456,638249390248787473,"Regular Blue CubeClone255 was picked up"
"P9","solo",1,"e","grab",19.0008,638249390272735558,638249390272925566,"Regular Blue CubeClone260 was picked up"
"P9","solo",1,"e","grab",478.4047,638249390311558821,638249390316342868,"Regular Red CubeClone267 was picked up"
"P9","solo",1,"e","grab",264.0141,638249390335455179,638249390338095320,"Regular Red CubeClone272 was picked up"
"P9","solo",1,"e","grab",318.7089,638249390376798474,638249390379985563,"Regular Red CubeClone277 was picked up"
"P9","solo",1,"e","grab",298.2213,638249390403996525,638249390406978738,"Regular Gold CubeClone155 was picked up"
"P9","solo",1,"e","grab",177.1933,638249390451547621,638249390453319554,"Regular Blue CubeClone285 was picked up"
"P9","solo",1,"e","grab",330.216,638249390515732935,638249390519035095,"Regular Red CubeClone293 was picked up"
"P9","solo",1,"e","grab",378.9638,638249390541918669,638249390545708307,"Regular Gold CubeClone286 was picked up"
"P9","solo",1,"e","grab",161.0015,638249390568167283,638249390569777298,"Regular Red CubeClone300 was picked up"
"P9","solo",1,"e","grab",373.4055,638249390581606359,638249390585340414,"Regular Neutral CubeClone306 was picked up"
"P9","solo",1,"e","grab",251.0801,638249390617595569,638249390620106370,"Regular Blue CubeClone308 was picked up"
"P9","solo",1,"e","grab",186.1748,638249390644335712,638249390646197460,"Regular Blue CubeClone313 was picked up"
"P9","solo",1,"e","grab",410.3183,638249390669656545,638249390673759728,"Regular Neutral CubeClone319 was picked up"
"P9","solo",1,"e","grab",237.5153,638249390731439400,638249390733814553,"Regular Blue CubeClone324 was picked up"
"P9","solo",1,"e","grab",650.212,638249390751485421,638249390757987541,"Regular Gold CubeClone306 was picked up"
"P9","solo",1,"e","grab",169.5199,638249390782401167,638249390784096366,"Regular Red CubeClone333 was picked up"
"P9","solo",1,"e","grab",240.4077,638249390805815963,638249390808220040,"Regular Red CubeClone337 was picked up"
"P9","solo",1,"e","grab",353.6761,638249390834360389,638249390837897150,"Regular Blue CubeClone339 was picked up"
"P9","solo",1,"e","grab",129.9751,638249390873587375,638249390874887126,"Regular Gold CubeClone335 was picked up"
"P9","solo",1,"e","grab",241.5219,638249390900981862,638249390903397081,"Regular Neutral CubeClone350 was picked up"
"P9","solo",1,"e","grab",139.0017,638249390925777364,638249390927167381,"Regular Neutral CubeClone354 was picked up"
"P9","solo",1,"e","grab",80.0017,638249390948128646,638249390948928663,"Regular Neutral CubeClone357 was picked up"
"P9","solo",1,"e","grab",505.0035,638249390967297448,638249390972347483,"Regular Gold CubeClone352 was picked up"
"P9","solo",1,"e","grab",274.232,638249391034177204,638249391036919524,"Regular Neutral CubeClone370 was picked up"
"P9","solo",1,"e","grab",312.0975,638249391059348932,638249391062469907,"Regular Gold CubeClone365 was picked up"
"P9","solo",1,"e","grab",175.1116,638249391142889865,638249391144640981,"Regular Gold CubeClone378 was picked up"
"P9","solo",1,"e","grab",118.7825,638249391163963067,638249391165150892,"Regular Neutral CubeClone388 was picked up"
"P9","solo",1,"e","grab",254.0462,638249391194968880,638249391197509342,"Regular Red CubeClone387 was picked up"
"P9","solo",1,"e","grab",103.5995,638249391218040549,638249391219076544,"Regular Blue CubeClone391 was picked up"
"P9","solo",1,"e","grab",150.9717,638249391250294052,638249391251803769,"Regular Neutral CubeClone399 was picked up"
"P9","solo",1,"e","grab",1863.7737,638249391279051121,638249391297688858,"Regular Gold CubeClone389 was picked up"
"P9","solo",1,"e","grab",350.0627,638249391307622040,638249391311122667,"Regular Neutral CubeClone408 was picked up"
"P9","solo",1,"e","grab",540.3295,638249391319170594,638249391324573889,"Regular Gold CubeClone411 was picked up"
"P9","solo",1,"e","grab",218.7081,638249391361030452,638249391363217533,"Regular Neutral CubeClone415 was picked up"
"P9","solo",1,"e","place",1995.0517,638249388438123655,638249388458074172,"Regular Blue CubeClone3was placed in dropzone"
"P9","solo",1,"e","place",330.0024,638249388704223046,638249388707523070,"Regular Blue CubeClone39was placed in dropzone"
"P9","solo",1,"e","place",207.1406,638249388754870221,638249388756941627,"Regular Neutral CubeClone48was placed in dropzone"
"P9","solo",1,"e","place",7.0001,638249388833038361,638249388833108362,"Regular Blue CubeClone60was placed in dropzone"
"P9","solo",1,"e","place",264.097,638249388923430305,638249388926071275,"Regular Blue CubeClonewas placed in dropzone"
"P9","solo",1,"e","place",1813.9136,638249388927121562,638249388945260698,"Regular Blue CubeClone74was placed in dropzone"
"P9","solo",1,"e","place",188.5922,638249389003589965,638249389005475887,"Regular Red CubeClone82was placed in dropzone"
"P9","solo",1,"e","place",1830.7504,638249389011373086,638249389029680590,"Regular Red CubeClone87was placed in dropzone"
"P9","solo",1,"e","place",1266.1545,638249389102435739,638249389115097284,"Regular Red CubeClone98was placed in dropzone"
"P9","solo",1,"e","place",1363.0421,638249389115829810,638249389129460231,"Regular Neutral CubeClone103was placed in dropzone"
"P9","solo",1,"e","place",464.4451,638249389216299511,638249389220943962,"Regular Blue CubeClone112was placed in dropzone"
"P9","solo",1,"e","place",290.0647,638249389367460374,638249389370361021,"Regular Blue CubeClone132was placed in dropzone"
"P9","solo",1,"e","place",1804.8466,638249389457072726,638249389475121192,"Regular Gold CubeClone1was placed in dropzone"
"P9","solo",1,"e","place",312.1792,638249389518936227,638249389522058019,"Regular Red CubeClone153was placed in dropzone"
"P9","solo",1,"e","place",206.6266,638249389588464936,638249389590531202,"Regular Blue CubeClone163was placed in dropzone"
"P9","solo",1,"e","place",1990.2207,638249389594412058,638249389614314265,"Regular Blue CubeClone167was placed in dropzone"
"P9","solo",1,"e","place",63.2426,638249389928882644,638249389929515070,"Regular Neutral CubeClone213was placed in dropzone"
"P9","solo",1,"e","place",84.9997,638249390001419705,638249390002269702,"Regular Blue CubeClone222was placed in dropzone"
"P9","solo",1,"e","place",107.0018,638249390078803932,638249390079873950,"Regular Red CubeClone231was placed in dropzone"
"P9","solo",1,"e","place",196.0409,638249390157970726,638249390159931135,"Regular Red CubeClone243was placed in dropzone"
"P9","solo",1,"e","place",296.6003,638249390182188628,638249390185154631,"Regular Red CubeClone246was placed in dropzone"
"P9","solo",1,"e","place",1816.5679,638249390182188628,638249390200354307,"Regular Blue CubeClone252was placed in dropzone"
"P9","solo",1,"e","place",1970.8501,638249390239558319,638249390259266820,"Regular Blue CubeClone255was placed in dropzone"
"P9","solo",1,"e","place",1871.2165,638249390264605191,638249390283317356,"Regular Blue CubeClone260was placed in dropzone"
"P9","solo",1,"e","place",17.9989,638249390342555365,638249390342735354,"Regular Red CubeClone272was placed in dropzone"
"P9","solo",1,"e","place",16.0009,638249390387145770,638249390387305779,"Regular Red CubeClone277was placed in dropzone"
"P9","solo",1,"e","place",503.0033,638249390412519762,638249390417549795,"Regular Gold CubeClone155was placed in dropzone"
"P9","solo",1,"e","place",206.5338,638249390631683386,638249390633748724,"Regular Blue CubeClone308was placed in dropzone"
"P9","solo",1,"e","place",1812.399,638249390636834496,638249390654958486,"Regular Blue CubeClone313was placed in dropzone"
"P9","solo",1,"e","place",1629.3505,638249390919857103,638249390936150608,"Regular Neutral CubeClone354was placed in dropzone"
"P9","solo",1,"e","place",151.0133,638249390955618277,638249390957128410,"Regular Neutral CubeClone357was placed in dropzone"
"P9","solo",1,"e","place",1436.855,638249390963528396,638249390977896946,"Regular Gold CubeClone352was placed in dropzone"
"P9","solo",1,"e","place",1525.7083,638249391053284081,638249391068541164,"Regular Gold CubeClone365was placed in dropzone"
"P9","solo",1,"e","place",145.0019,638249391149302253,638249391150752272,"Regular Gold CubeClone378was placed in dropzone"
"P9","solo",1,"e","place",1999.7121,638249391152690310,638249391172687431,"Regular Neutral CubeClone388was placed in dropzone"
"P9","solo",1,"e","place",317.5111,638249391204716720,638249391207891831,"Regular Red CubeClone387was placed in dropzone"
"P9","solo",1,"e","place",1999.7742,638249391207711727,638249391227709469,"Regular Blue CubeClone391was placed in dropzone"
"P9","solo",2,"e","grab",234.7383,638249392134334345,638249392136681728,"Regular Gold CubeClone1 was picked up"
"P9","solo",2,"e","grab",97.0003,638249392166321975,638249392167291978,"Regular Gold CubeClone6 was picked up"
"P9","solo",2,"e","grab",217.0971,638249392199101937,638249392201272908,"Regular Blue CubeClone8 was picked up"
