"Participant","Condition","Trial","Group","avgGrab","avgDrop","avgFullSequence","stillGrab","slowGrab","fastGrab"
"sdP8","comp",2,"c",0.272787937662337,0.595812754878048,1.32574284947368,0.270304619999998,0.293619031818183,0.228245435294116
"sdP8","solo",1,"c",0.364927787500001,0.646410034285716,1.41048592727273,0.303674262500003,0.368809045192309,0.379689854545453
"sdP8","solo",2,"c",0.341648532000001,0.764548952380956,1.57294927073171,0.355645846153847,0.340165057142858,0.315567915
"sdP8","co",1,"c",0.278885542553192,0.758073791999999,1.48395210196078,0.314726873333335,0.246543765217393,0.301801199999997
"sdP8","co",2,"c",0.358771333333333,0.650120945833336,1.5884718625,0.405355931818184,0.310602784210523,0.331356650000003
"sdP8","comp",1,"c",0.227812647692308,0.61742411125,1.36914438111111,0.231911156250002,0.226697938124999,0.231553276923075
"P9","comp",2,"e",0.272325478947367,0.612319248648649,1.2707014862069,0.362917882608691,0.250776697222223,0.207807285714285
"P9","solo",1,"e",0.264236349350651,0.764528514062497,1.47034626125,0.299246100000003,0.28855554318182,0.204295649999999
"P9","solo",2,"e",0.229454996153847,0.679088870370369,1.33904857333333,0.201239322222226,0.251141064181288,0.216046860869564
"P9","co",1,"e",0.437176482352942,0.799003321428569,1.35107030434783,0.629929322222226,0.224522349999992,0.218931933333333
"P9","comp",1,"e",0.260881401136366,0.577772607499998,1.12806830097088,0.345450937500002,0.247401445119049,0.195393856521743
"sdP9","comp",2,"e",0.320604101694916,0.665804546666668,1.32321689186047,0.544784278571434,0.26464240230769,0.231075411764706
"sdP9","solo",1,"e",0.2956480109375,1.14703984444444,1.78668930857143,0.30759077,0.306474583333334,0.241106599999993
"sdP9","solo",2,"e",0.290590804761905,0.827047773333334,1.54086228428571,0.304767669999993,0.300303456666669,0.249669044444446
"sdP9","co",1,"e",0.285813868085106,0.747761520833331,1.40857971836734,0.360181686956519,0.242465843750002,0.158702437500002
"sdP9","co",2,"e",0.399699331818178,0.803780528000001,1.25324532127659,0.513658547368418,0.362918774999996,0.22450642222222
"sdP9","comp",1,"e",0.261174736363638,0.768631885714285,1.29505251265823,0.184483350000002,0.302589709375002,0.233219211111112
"nuP10","comp",2,"c",0.233197687179487,0.741182288888889,1.38240086853933,0.240245409523806,0.240852924166668,0.21027762631579
"nuP10","solo",1,"c",0.295870864197532,0.894539092647061,1.58927269770115,0.388720379999996,0.307954857085346,0.235531861904767
"nuP10","solo",2,"c",0.256909244186046,0.764693073684212,1.57780790909091,0.319865012500001,0.228530329841896,0.265429780000001
"nuP10","co",1,"c",0.319298045454541,0.845534070588235,1.42446534285714,0.404872245454541,0.276779946153844,0.276122388888882
"nuP10","co",2,"c",0.350744005882352,0.980027207692306,1.87674622962963,0.461814131578947,0.33261409090909,0.179596579999996
"nuP10","comp",1,"c",0.237366908333336,0.776700131645569,1.46663305744681,0.231707404545458,0.235811410000001,0.248802471428576
"nuP11","comp",2,"e",0.554614097142857,0.974572187878781,1.770037264,0.871939505555557,0.243541283333329,0.157018100000004
"nuP11","solo",1,"e",0.343958414666667,0.722549127586206,1.44037319759036,0.646822624999998,0.318750232173912,0.273752205263165
"nuP11","solo",2,"e",0.270300509523811,0.888961679166665,1.83310532777778,0.356175763636365,0.241936813461537,0.22419887500001
"nuP11","co",1,"e",0.36129184285714,0.900217456249999,1.62996320909091,0.397246299999995,0.307586366666663,0.347299950000007
"nuP11","co",2,"e",0.280126387500001,0.795646696000003,1.12771257435898,0.306412658333336,0.23818919090909,0.426000299999998
"nuP11","comp",1,"e",0.309379351219513,0.923443093617021,2.13628953606557,0.558956123076923,0.201059480000004,0.174616774999991
