"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"nuP21","co",2,"c",796.46615033557,402.091440740741,1050.97003737374,0,149,81,99,3,1186734564,325694067,1040460337,0
"nuP21","comp",1,"c",759.358799411765,370.993088,827.740771851852,0,170,50,135,4,1290909959,185496544,1117450042,0
"nuP22","comp",2,"c",870.837431443299,336.884819444444,747.706602727273,94.6011666666667,194,36,110,3,1689424617,121278535,822477263,1.40217559519506e-317
"nuP22","solo",1,"c",863.161904635762,576.85339047619,915.683908490566,NA,151,63,106,0,1303374476,363417636,970624943,0
"nuP22","solo",2,"c",963.301570547945,583.276811538462,804.665331372549,NA,146,26,102,0,1406420293,151651971,820758638,0
"nuP22","co",1,"c",1083.29555323741,335.468389230769,1122.44256455696,150.75905,139,65,79,4,1505780819,218054453,886729626,2.97939469618651e-317
"nuP22","co",2,"c",1056.51692653061,292.377274545455,1154.57960379747,113.999316666667,147,55,79,6,1553079882,160807501,912117887,3.37938876086265e-317
"nuP22","comp",1,"c",792.513637878788,219.288323913043,754.3455375,34.8761875,198,46,120,8,1569177003,100872629,905214645,1.37849008813343e-317
"nuP23","comp",2,"c",851.30381015625,1224.2867,1754.74197956989,NA,128,4,93,0,1089668877,48971468,1631910041,0
"nuP23","solo",1,"c",961.386009022556,699.739313333333,1233.92968791209,NA,133,30,91,0,1278643392,209921794,1122876016,0
"nuP23","solo",2,"c",1027.35045111111,838.112502941176,1013.14884343434,NA,135,34,99,0,1386923109,284958251,1003017355,0
"nuP23","co",1,"c",1057.5238127451,532.901326666667,2513.06469830509,154.0906,102,30,59,2,1078674289,159870398,1482708172,1.5226174361413e-317
"nuP23","co",2,"c",1204.53111456311,432.841111111111,1853.62801688312,83.2297666666667,103,9,77,6,1240667048,38955700,1427293573,2.46725810528298e-317
"nuP23","comp",1,"c",938.155313207547,181.488309090909,2049.14880470588,NA,106,11,85,0,994444632,19963714,1741776484,0
"nuP24","comp",2,"c",766.16828941799,454.189884615385,641.703780530973,0,189,78,113,3,1448058067,354268110,725125272,0
"nuP24","solo",1,"c",967.171182962963,490.246256363636,1039.43413092783,NA,135,55,97,0,1305681097,269635441,1008251107,0
"nuP24","solo",2,"c",852.91038447205,404.189595652174,896.846157692308,NA,161,69,104,0,1373185719,278890821,932720004,0
"nuP24","co",1,"c",954.734357931034,424.812271153846,972.844327848101,125.60828,145,104,79,5,1384364819,441804762,768547019,3.10293679906041e-317
"nuP24","co",2,"c",1009.45782411348,406.230522352941,1033.10467333333,235.003725,141,85,75,8,1423335532,345295944,774828505,9.2885813733779e-317
"nuP25","comp",1,"c",959.82805033557,321.506956097561,716.146408955224,NA,149,41,134,0,1430143795,131817852,959636188,0
"nuP25","solo",1,"c",1224.17145779817,683.0266,1451.65247764706,NA,109,14,85,0,1334346889,95623724,1233904606,0
"nuP25","solo",2,"c",1147.7658442623,669.70977,1483.54895333333,NA,122,20,75,0,1400274330,133941954,1112661715,0
"nuP25","co",1,"c",985.722114876033,279.180411235955,1071.06183617021,135.280463636364,121,89,94,11,1192723759,248470566,1006798126,7.35211725998236e-317
"nuP25","co",2,"c",859.568196875,724.763556097561,1159.27516391753,149.224788888889,128,41,97,9,1100247292,297153058,1124496909,6.63541575281213e-317
"nuP25","comp",2,"c",827.631301775148,385.1926375,873.520315044248,0,169,40,113,5,1398696900,154077055,987077956,0
"nuP27","comp",2,"c",800.116033333333,480.333978313253,799.372510679612,361.9973,168,83,103,1,1344194936,398677202,823353686,1.78850429817287e-317
"nuP27","solo",1,"c",917.944941441442,859.372689361702,1578.29519382716,NA,111,47,81,0,1018918885,403905164,1278419107,0
"nuP27","solo",2,"c",896.230909774436,724.7991125,1143.732918,NA,133,40,100,0,1191987110,289919645,1143732918,0
"sdP27","co",1,"c",998.436776106195,606.251115463917,1364.96059076923,NA,113,97,65,0,1128233557,588063582,887224384,0
"nuP27","co",2,"c",843.352706849315,575.557282417582,1142.53531917808,NA,146,91,73,0,1231294952,523757127,834050783,0
"nuP27","comp",1,"c",838.015474025974,445.684055696203,1043.31243804348,0,154,79,92,2,1290543830,352090404,959847443,0
"nuP28","co",1,"c",922.289687323944,379.754456756757,1246.10438987342,90.2505,142,74,79,4,1309651356,281018298,984422468,1.78358686279982e-317
"nuP28","solo",1,"c",1099.04335,569.071712244898,1008.018140625,NA,126,49,96,0,1384794621,278845139,967697415,0
"nuP28","solo",2,"c",1540.12575238095,436.345642857143,821.537965925926,217.934318032787,189,70,135,61,2910837672,305441950,1109076254,6.56810543498027e-316
"nuP28","co",2,"c",932.952975757576,371.307826315789,1167.24532926829,NA,132,95,82,0,1231497928,352742435,957141170,0
"nuP28","comp",1,"f",688.705942073171,362.812352884615,1004.14347281553,0,164,104,103,1,1129477745,377324847,1034267777,0
"nuP28","comp",2,"c",939.521591447368,339.358784444444,1062.7898244898,NA,152,45,98,0,1428072819,152711453,1041534028,0
"nuP29","comp",2,"c",729.094646666667,335.377343589744,619.843972316384,NA,180,39,177,0,1312370364,130797164,1097123831,0
"nuP29","solo",1,"c",1025.49798618421,544.370966666667,1065.76499642857,NA,152,27,84,0,1558756939,146980161,895242597,0
"nuP29","solo",2,"c",815.217446385542,557.296844444444,1073.72262626263,NA,166,27,99,0,1353260961,150470148,1062985400,0
"nuP29","co",1,"c",677.461146666667,570.203151136364,1144.75272763158,62.24995,165,88,76,8,1117810892,501778773,870012073,2.46044494002682e-317
"nuP29","co",2,"c",831.659382312925,422.508684615385,912.176421774193,0,147,52,124,5,1222539292,219704516,1131098763,0
"nuP29","comp",1,"c",741.912057798165,300.329609090909,539.417393630573,106.9974,218,33,157,1,1617368286,99108771,846885308,5.28637395343342e-318
"P3","solo",1,NA,1070.2024300885,574.909127586207,1236.87251214953,NA,113,29,107,0,1209328746,166723647,1323453588,0
"nuP30","comp",2,"c",1528.4029,465.543024324324,1127.06733645833,NA,89,37,96,0,1360278581,172250919,1081984643,0
"nuP30","solo",1,"c",1469.79276555556,549.392831111111,1326.32715897436,NA,90,45,78,0,1322813489,247226774,1034535184,0
"nuP30","solo",2,"c",1311.5276460177,577.384890909091,1041.54387093023,NA,113,44,86,0,1482026240,254049352,895727729,0
"nuP30","co",1,"c",1233.1615326087,531.535559782609,1539.42628166667,107.66635,92,92,60,6,1134508610,489012715,923655769,3.19165468488718e-317
"nuP30","co",2,"c",1144.8329266055,503.359018571429,1272.6571225,NA,109,70,80,0,1247867890,352351313,1018125698,0
"nuP30","comp",1,"c",1152.89463488372,515.098121153846,1165.86849333333,0,129,52,75,3,1487234079,267851023,874401370,0
"P31","comp",2,"c",971.924897637795,255.511081111111,810.711345238095,123.9994,127,90,126,1,1234344620,229959973,1021496295,6.12638436449271e-318
"nuP31","solo",1,"c",966.295012698413,458.627633898305,1191.91526021505,NA,126,59,93,0,1217531716,270590304,1108481192,0
"P31","solo",2,"c",877.375494444444,447.006437735849,883.541394495413,NA,162,53,109,0,1421348301,236913412,963060120,0
"P31","co",1,"c",809.286778947368,492.285191428571,1326.39341348315,168.25,133,70,89,4,1076351416,344599634,1180490138,3.32506179651159e-317
"P31","co",2,"c",891.397289312977,441.010241836735,1066.03277282609,179.889244444444,131,98,92,9,1167730449,432190037,980750151,7.99893861627045e-317
"P31","comp",1,"c",876.357853642384,305.44784,681.740580152672,NA,151,105,131,0,1323300359,320720232,893080160,0
"P4","comp",2,"e",920.271507878788,447.229364,907.101157894737,154.9996,165,25,95,1,1518447988,111807341,861746100,7.65799774791349e-318
"P4","solo",1,"e",892.032064705882,576.580938636364,1013.93067358491,NA,153,44,106,0,1364809059,253695613,1074766514,0
"P4","solo",2,"e",897.551884444444,890.269767741936,1065.44782897196,NA,135,31,107,0,1211695044,275983628,1140029177,0
"P4","co",1,"e",1145.91303545455,928.973036666667,1393.98742741935,205.010117647059,110,30,62,17,1260504339,278691911,864272205,1.72190375504783e-316
"P4","co",2,"e",1041.3683974359,880.721264705882,1545.00428714286,140.001028571429,117,17,70,7,1218401025,149722615,1081503001,4.84187890197072e-317
"P4","comp",1,"e",989.172890229885,506.498203846154,794.519223255814,107.70099,174,26,86,10,1721160829,131689533,683286532,5.32113591820916e-317
"P5","comp",1,"e",869.454961313869,444.204558,1231.10633163265,NA,137,50,98,0,1191153297,222102279,1206484205,0
"P5","solo",2,"e",1030.11658,527.214077777778,1758.97650851064,NA,45,18,47,0,463552461,94898534,826718959,0
"P5","co",1,"e",1110.49715813953,441.87510877193,2502.90652545455,110.681233333333,86,57,55,3,955027556,251868812,1376598589,1.64051385088017e-317
"P5","co",2,"e",1007.7407675,638.036611904762,1762.83457195122,79.9987,80,42,82,2,806192614,267975377,1445524349,7.90492187639203e-318
"P6","comp",2,"e",759.381191666667,229.79815952381,733.75904520548,NA,168,42,146,0,1275760402,96515227,1071288206,0
"P6","solo",1,"e",732.866969230769,323.413802173913,877.293713095238,NA,117,46,84,0,857454354,148770349,736926719,0
"P6","solo",2,"e",1025.43954657534,441.2793625,994.880452747253,NA,146,40,91,0,1497141738,176511745,905341212,0
"P6","co",1,"e",949.894718888889,770.732961363636,1354.62465892857,253.0545,90,44,56,8,854905247,339122503,758589809,1.00020427980427e-316
"P6","co",2,"e",1173.48108632479,485.099156603774,1150.55039761905,217.62168,117,53,84,5,1372972871,257102553,966462334,5.37596979391285e-317
"P6","comp",1,"e",851.773307843137,294.159540540541,765.203687581699,50.0009,153,37,153,2,1303213161,108839030,1170761642,4.94074539022872e-318
"Py","comp",2,"e",1029.00261366906,1100.77767894737,1171.29511149425,140.9995,139,19,87,1,1430313633,209147759,1019026747,6.96630090307928e-318
"P7","solo",1,"e",1262.40548504673,702.859042857143,1248.79887444444,NA,107,21,90,0,1350773869,147600399,1123918987,0
"P7","solo",2,"e",1228.53037348485,1341.55348333333,996.432913684211,NA,132,12,95,0,1621660093,160986418,946611268,0
"P7","co",1,"e",1199.97520857143,656.127504444444,1516.12519722222,164.418155555556,105,45,72,9,1259973969,295257377,1091610142,7.31100259913239e-317
"P7","co",2,"e",1400.58287356322,586.16629,2379.26371272727,131.983642857143,87,30,55,7,1218507100,175849887,1308595042,4.56460086240863e-317
"P7","comp",1,"e",1151.08545833333,798.176315384615,1187.23505212766,NA,132,13,94,0,1519432805,103762921,1116000949,0
