"sequenceType","sequenceNum","moveTime","startTime","endTime","Participant","Age","Sex","Condition","Trial","Group"
"Place",567,0.588000700000002,50.7818526,51.3698533,"P9",21,"f","comp",2,"e"
"Place",569,0.656999500000005,58.045297,58.7022965,"P9",21,"f","comp",2,"e"
"Place",571,0.504000500000004,63.160297,63.6642975,"P9",21,"f","comp",2,"e"
"Place",572,0.421002099999995,64.8442967,65.2652988,"P9",21,"f","comp",2,"e"
"Place",574,0.562001300000006,65.8792957,66.441297,"P9",21,"f","comp",2,"e"
"Place",575,0.420999699999996,68.120298,68.5412977,"P9",21,"f","comp",2,"e"
"Place",577,0.483999600000004,70.4092974,70.893297,"P9",21,"f","comp",2,"e"
"Place",579,0.617013500000013,72.5732961,73.1903096,"P9",21,"f","comp",2,"e"
"Place",581,0.657900100000006,74.7630396,75.4209397,"P9",21,"f","comp",2,"e"
"Place",583,0.586000300000009,77.9593484,78.5453487,"P9",21,"f","comp",2,"e"
"Place",585,0.535001100000002,83.3403494,83.8753505,"P9",21,"f","comp",2,"e"
"Place",587,0.556998000000007,86.5218963,87.0788943,"P9",21,"f","comp",2,"e"
"Place",589,0.655000399999992,89.7988952,90.4538956,"P9",21,"f","comp",2,"e"
"Place",591,0.801181299999996,92.5194081,93.3205894,"P9",21,"f","comp",2,"e"
"Place",592,0.546000100000001,95.4925881,96.0385882,"P9",21,"f","comp",2,"e"
"Place",593,0.453886600000004,103.0261159,103.4800025,"P9",21,"f","comp",2,"e"
"Place",595,0.671998600000009,104.2660009,104.9379995,"P9",21,"f","comp",2,"e"
"Place",597,0.683002400000007,106.5299994,107.2130018,"P9",21,"f","comp",2,"e"
"Place",599,0.672000300000008,114.7820002,115.4540005,"P9",21,"f","comp",2,"e"
"Place",601,0.451999499999999,117.8310018,118.2830013,"P9",21,"f","comp",2,"e"
"Place",604,0.728000999999992,121.9280001,122.6560011,"P9",21,"f","comp",2,"e"
"Place",606,0.286000000000001,124.0945335,124.3805335,"P9",21,"f","comp",2,"e"
"Place",608,0.610001400000002,126.3845316,126.994533,"P9",21,"f","comp",2,"e"
"Place",610,0.325000100000011,128.9145326,129.2395327,"P9",21,"f","comp",2,"e"
"Place",613,0.435998899999987,135.6515343,136.0875332,"P9",21,"f","comp",2,"e"
"Place",616,0.667996799999997,140.6975346,141.3655314,"P9",21,"f","comp",2,"e"
"Place",618,0.785999000000004,143.6851192,144.4711182,"P9",21,"f","comp",2,"e"
"Place",620,0.437036199999994,148.3270336,148.7640698,"P9",21,"f","comp",2,"e"
"Place",622,0.431987800000002,151.1609271,151.5929149,"P9",21,"f","comp",2,"e"
"Place",624,0.628985899999975,153.4709917,154.0999776,"P9",21,"f","comp",2,"e"
"Place",627,0.62899950000002,158.9798755,159.608875,"P9",21,"f","comp",2,"e"
"Place",629,0.4090013,160.8598739,161.2688752,"P9",21,"f","comp",2,"e"
"Place",630,0.776001100000002,164.5648746,165.3408757,"P9",21,"f","comp",2,"e"
"Place",632,0.656998500000014,167.9208751,168.5778736,"P9",21,"f","comp",2,"e"
"Place",634,0.539000399999992,170.1108762,170.6498766,"P9",21,"f","comp",2,"e"
"Place",638,0.632999999999981,176.4458744,177.0788744,"P9",21,"f","comp",2,"e"
"Place",639,0.470000499999998,178.6358737,179.1058742,"P9",21,"f","comp",2,"e"
"Place",641,0.553002600000013,181.9458737,182.4988763,"P9",21,"f","comp",2,"e"
"Place",643,0.712974800000012,183.7639003,184.4768751,"P9",21,"f","comp",2,"e"
"Place",646,0.402999299999976,192.5748761,192.9778754,"P9",21,"f","comp",2,"e"
"Place",649,0.672999400000009,198.5258758,199.1988752,"P9",21,"f","comp",2,"e"
"Place",651,0.502001100000001,200.6098739,201.111875,"P9",21,"f","comp",2,"e"
"Place",653,0.282989200000003,203.3425146,203.6255038,"P9",21,"f","comp",2,"e"
"Place",655,0.4649991,205.051085,205.5160841,"P9",21,"f","comp",2,"e"
"Place",657,0.621999399999993,208.4440844,209.0660838,"P9",21,"f","comp",2,"e"
"Place",659,0.585998999999987,210.3220841,210.9080831,"P9",21,"f","comp",2,"e"
"Place",660,0.604000400000018,213.4920828,214.0960832,"P9",21,"f","comp",2,"e"
"Place",662,0.838408100000009,216.0680823,216.9064904,"P9",21,"f","comp",2,"e"
"Place",664,0.644000199999994,218.3734896,219.0174898,"P9",21,"f","comp",2,"e"
"Place",667,0.542001499999998,222.7164883,223.2584898,"P9",21,"f","comp",2,"e"
"Place",669,0.597999799999997,224.5364902,225.13449,"P9",21,"f","comp",2,"e"
"Place",671,0.852000699999991,226.3504896,227.2024903,"P9",21,"f","comp",2,"e"
"Place",673,0.674999700000001,228.9084907,229.5834904,"P9",21,"f","comp",2,"e"
"Place",674,0.915001099999984,238.4420272,239.3570283,"P9",21,"f","comp",2,"e"
"Place",676,0.535000999999994,240.6410269,241.1760279,"P9",21,"f","comp",2,"e"
"Place",678,1.28499919999999,243.0300281,244.3150273,"P9",21,"f","comp",2,"e"
"Place",680,0.411999600000001,246.2350274,246.647027,"P9",21,"f","comp",2,"e"
"Place",682,0.512999899999983,248.349027,248.8620269,"P9",21,"f","comp",2,"e"
"Place",685,0.453001299999983,252.635025,253.0880263,"P9",21,"f","comp",2,"e"
"Place",688,1.24000119999999,268.5385344,269.7785356,"P9",21,"f","comp",2,"e"
"Place",690,0.678582800000015,274.7955477,275.4741305,"P9",21,"f","comp",2,"e"
