"Participant","Age","Sex","Condition","Trial","Group","avgGrab","avgDrop","avgDropStart","grabCount","dropCount","dropStartCount","avgFullSequence","stillGrab","slowGrab","fastGrab"
"nuP25",21,"f","solo",1,"c",0.387490211111111,1.16252995,0.670356892857147,54,28,28,1.7659650037037,0.491856166666668,0.387234989999999,0.351856508333333
"nuP25",21,"f","solo",2,"c",0.395457842105263,1.09630813571429,0.600620864285718,57,42,42,1.86909585254237,0.465022576923076,0.412023903750002,0.362604927777775
"nuP25",21,"f","co",1,"c",0.445690694285714,1.15515675294118,0.600924611764705,35,17,17,1.64031464210526,0.542522033333334,0.348377709090908,0.33360381666666
"nuP25",21,"f","co",2,"c",0.264605045161292,1.14597918571429,0.524065933333337,31,21,21,1.55834032571429,0.165155550000001,0.359975233333337,0.247944233333334
"nuP25",21,"f","comp",2,"c",0.210426013333335,0.828899372972973,0.43141614054054,60,74,74,1.49738913670886,0.243421276470586,0.199015815000004,0.194883200000001
"nuP27",19,"f","comp",2,"c",0.297222248648646,0.764740310937501,0.402897623437499,74,64,64,1.50329060897436,0.337271590909085,0.288404135294116,0.264763558823529
"nuP27",19,"f","solo",1,"c",0.32506942758621,1.08300012790697,0.535441353488367,58,43,43,2.11595813389831,0.409143300000009,0.338028844285715,0.273294935294122
"nuP27",19,"f","solo",2,"c",0.29976545,1.01060506792453,0.439105256603771,64,53,53,2.03271536615385,0.343817463636364,0.268674188392859,0.315695395652172
"sdP27",19,"f","co",1,"c",0.439198282926829,1.0542569875,0.520066049999998,41,16,16,1.22689457727273,0.423524547826087,0.505253750000001,0.367169999999993
"nuP27",19,"f","co",2,"c",0.327054536842103,0.989090573913045,0.424871330434786,38,23,23,1.62054669761905,0.297751437499997,0.356715642857139,0.333753800000002
"nuP27",19,"f","comp",1,"c",0.315699965217389,NA,0.390286901449279,69,NA,69,1.69969584935065,0.319445077777777,0.356917056776553,0.254000588235297
"nuP28",20,"f","co",1,"c",0.379824115384614,0.950160130769227,0.670773911538459,39,26,26,1.30178100434782,0.497154649999999,0.249335241666662,0.268289228571431
"nuP28",20,"f","solo",1,"c",0.421060069491527,0.98214628085106,0.577223778723405,59,47,47,1.85892584375,0.492582542857147,0.433472799215686,0.381907285000004
"nuP28",20,"f","solo",2,"c",0.276952913114753,0.867354547619047,0.562670326984125,61,63,63,1.50050246197183,0.270386976923072,0.33437561945701,0.182112644444451
"nuP28",20,"f","co",2,"c",0.350847922727276,0.919854129999998,0.620014626666667,44,30,30,1.63217585,0.333831152941176,0.284005173684216,0.545760087500002
"nuP28",20,"f","comp",1,"f",0.248419122413791,0.860443458333334,0.576857647916669,58,48,48,1.42999511492537,0.283092836363634,0.210037048601396,0.269003266666666
"nuP28",20,"f","comp",2,"c",0.233445490740742,NA,0.635688409259258,54,NA,54,1.4096241132353,0.229313593750003,0.280090989316239,0.165500568750001
