"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","solo",1,"e","grab",313.7314,638303012023166525,638303012026303839,"Regular Red CubeClone133 was picked up"
"nuP11","solo",1,"e","grab",265.7532,638303012047226008,638303012049883540,"Regular Blue CubeClone135 was picked up"
"nuP11","solo",1,"e","grab",177.002,638303012067263682,638303012069033702,"Regular Blue CubeClone138 was picked up"
"nuP11","solo",1,"e","grab",396.7129,638303012097019289,638303012100986418,"Regular Red CubeClone143 was picked up"
"nuP11","solo",1,"e","grab",429.9017,638303012114859830,638303012119158847,"Regular Blue CubeClone149 was picked up"
"nuP11","solo",1,"e","grab",379.5838,638303012173902760,638303012177698598,"Regular Red CubeClone152 was picked up"
"nuP11","solo",1,"e","grab",648.1694,638303012215635653,638303012222117347,"Regular Red CubeClone158 was picked up"
"nuP11","solo",1,"e","grab",411.4156,638303012226820469,638303012230934625,"Regular Red CubeClone162 was picked up"
"nuP11","solo",1,"e","grab",527.9801,638303012321253730,638303012326533531,"Regular Red CubeClone174 was picked up"
"nuP11","solo",1,"e","grab",655.6462,638303012350758087,638303012357314549,"Regular Red CubeClone180 was picked up"
"nuP11","solo",1,"e","grab",115.6491,638303012400795507,638303012401951998,"Regular Red CubeClone184 was picked up"
"nuP11","solo",1,"e","grab",276.6279,638303012425468857,638303012428235136,"Regular Red CubeClone188 was picked up"
"nuP11","solo",1,"e","grab",240.0026,638303012447729622,638303012450129648,"Regular Red CubeClone190 was picked up"
"nuP11","solo",1,"e","grab",245.0376,638303012476602739,638303012479053115,"Regular Red CubeClone194 was picked up"
"nuP11","solo",1,"e","grab",211.023,638303012499576350,638303012501686580,"Regular Red CubeClone197 was picked up"
"nuP11","solo",1,"e","grab",183.4682,638303012560937106,638303012562771788,"Regular Gold CubeClone70 was picked up"
"nuP11","solo",1,"e","grab",541.0046,638303012594249435,638303012599659481,"Regular Red CubeClone216 was picked up"
"nuP11","solo",1,"e","grab",1545.707,638303012668178848,638303012683635918,"Regular Red CubeClone225 was picked up"
"nuP11","solo",1,"e","grab",262.0263,638303012705862057,638303012708482320,"Regular Blue CubeClone226 was picked up"
"nuP11","solo",1,"e","grab",795.6222,638303012760038445,638303012767994667,"Regular Gold CubeClone215 was picked up"
"nuP11","solo",1,"e","grab",87.9992,638303012842449656,638303012843329648,"Regular Red CubeClone246 was picked up"
"nuP11","solo",1,"e","grab",207.3335,638303012887525543,638303012889598878,"Regular Gold CubeClone257 was picked up"
"nuP11","solo",1,"e","grab",283.9926,638303012949507496,638303012952347422,"Regular Blue CubeClone261 was picked up"
"nuP11","solo",1,"e","grab",246.9871,638303012992065338,638303012994535209,"Regular Blue CubeClone270 was picked up"
"nuP11","solo",1,"e","grab",157.0013,638303013056907570,638303013058477583,"Regular Blue CubeClone277 was picked up"
