"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P12","s","2",22,"m","e",326.0735,637959116536300424,637959116539561159,"red"
"P12","s","2",22,"m","e",250.9635,637959116573595496,637959116576105131,"blue"
"P12","s","2",22,"m","e",517.1196,637959116607482234,637959116612653430,"red"
"P12","s","2",22,"m","e",462.1068,637959116674795556,637959116679416624,"red"
"P12","co","1",22,"m","e",1162.2636,637959119397302943,637959119408925579,"red"
"P12","co","1",22,"m","e",1365.3103,637959119476309117,637959119489962220,"red"
"P12","co","1",22,"m","e",79.021,637959119532331792,637959119533122002,"gray"
"P12","co","1",22,"m","e",271.0622,637959119574781395,637959119577492017,"gray"
"P12","co","1",22,"m","e",182.0431,637959119676424388,637959119678244819,"red"
"P12","co","1",22,"m","e",237.0551,637959119885964346,637959119888334897,"red"
"P12","co","1",22,"m","e",1211.2745,637959119922562615,637959119934675360,"red"
"P12","co","1",22,"m","e",160.0397,637959119962671690,637959119964272087,"red"
"P12","co","1",22,"m","e",589.1349,637959120128299160,637959120134190509,"red"
"P12","co","1",22,"m","e",438.7955,637959120186624509,637959120191012464,"gray"
"P12","co","1",22,"m","e",585.1322,637959120229801232,637959120235652554,"gray"
"P12","co","2",22,"m","e",1798.4071,637959121018810292,637959121036794363,"gray"
"P12","co","2",22,"m","e",370.0828,637959121157891762,637959121161592590,"red"
"P12","co","2",22,"m","e",1548.3512,637959121201625854,637959121217109366,"red"
"P12","co","2",22,"m","e",492.1119,637959121253183693,637959121258104812,"red"
"P12","co","2",22,"m","e",774.9145,637959121281079370,637959121288828515,"red"
"P12","co","2",22,"m","e",1161.2624,637959121541027132,637959121552639756,"red"
"P12","co","2",22,"m","e",82.0203,637959121564772495,637959121565592698,"red"
"P12","co","2",22,"m","e",435.0974,637959121728991093,637959121733342067,"red"
"P12","co","2",22,"m","e",259.0592,637959121762958772,637959121765549364,"red"
"P12","co","2",22,"m","e",392.0877,637959121938558517,637959121942479394,"gray"
"P12","co","2",22,"m","e",323.0737,637959121987879655,637959121991110392,"gray"
"P13","s","1",32,"m","c",626.1413,637959130937539753,637959130943801166,"red"
"P13","s","1",32,"m","c",984.2226,637959130973427871,637959130983270097,"gray"
"P13","s","1",32,"m","c",232.0534,637959131153858687,637959131156179221,"gold"
"P13","s","1",32,"m","c",183.6851,637959131183274502,637959131185111353,"gold"
"P13","s","1",32,"m","c",494.1143,637959131188612140,637959131193553283,"gray"
"P13","s","1",32,"m","c",1204.7305,637959131224603811,637959131236651116,"gray"
"P13","s","1",32,"m","c",416.0944,637959131262586976,637959131266747920,"gray"
"P13","s","1",32,"m","c",410.0929,637959131299185260,637959131303286189,"red"
"P13","s","1",32,"m","c",281.0641,637959131380963761,637959131383774402,"gray"
"P13","s","1",32,"m","c",543.1229,637959131396697315,637959131402128544,"red"
"P13","s","1",32,"m","c",258.0579,637959131526826754,637959131529407333,"gray"
"P13","s","1",32,"m","c",118.0287,637959131606007945,637959131607188232,"gray"
"P13","s","1",32,"m","c",107.0267,637959131677572695,637959131678642962,"red"
"P13","s","1",32,"m","c",189.0449,637959131705959111,637959131707849560,"gold"
"P13","s","1",32,"m","c",307.0694,637959131733365312,637959131736436006,"red"
"P13","s","1",32,"m","c",420.0949,637959131803581194,637959131807782143,"gray"
"P13","s","1",32,"m","c",236.0531,637959131834138110,637959131836498641,"gray"
"P13","s","1",32,"m","c",158.036,637959131860724124,637959131862304484,"gray"
"P13","s","1",32,"m","c",573.8593,637959131923390522,637959131929129115,"red"
"P13","s","1",32,"m","c",698.0442,637959131983012945,637959131989993387,"red"
"P13","s","1",32,"m","c",84.019,637959132043238272,637959132044078462,"red"
"P13","s","2",32,"m","c",617.1408,637959132583377636,637959132589549044,"blue"
"P13","s","2",32,"m","c",1236.2796,637959132667466662,637959132679829458,"gold"
"P13","s","2",32,"m","c",238.0546,637959132733961701,637959132736342247,"gray"
"P13","s","2",32,"m","c",311.0708,637959132764658656,637959132767769364,"gray"
"P13","s","2",32,"m","c",198.0449,637959132785223307,637959132787203756,"red"
"P13","s","2",32,"m","c",188.0425,637959132824532193,637959132826412618,"red"
"P13","s","2",32,"m","c",460.1038,637959132850518076,637959132855119114,"red"
"P13","s","2",32,"m","c",397.055,637959132914772243,637959132918742793,"red"
"P13","s","2",32,"m","c",441.0997,637959132992261686,637959132996672683,"gray"
"P13","s","2",32,"m","c",473.1072,637959133031970666,637959133036701738,"red"
"P13","s","2",32,"m","c",336.0762,637959133079831498,637959133083192260,"red"
"P13","s","2",32,"m","c",360.0831,637959133101726450,637959133105327281,"gray"
"P13","s","2",32,"m","c",292.0664,637959133142235615,637959133145156279,"gray"
"P13","s","2",32,"m","c",217.0498,637959133173312642,637959133175483140,"gold"
"P13","s","2",32,"m","c",280.0635,637959133195007556,637959133197808191,"gray"
"P13","s","2",32,"m","c",227.0519,637959133224154146,637959133226424665,"gray"
"P13","s","2",32,"m","c",262.0602,637959133249889969,637959133252510571,"gray"
"P13","s","2",32,"m","c",6.0033,637959133276926086,637959133276986119,"gray"
"P13","s","2",32,"m","c",272.0628,637959133296490507,637959133299211135,"blue"
"P13","s","2",32,"m","c",142.0326,637959133337071388,637959133338491714,"gray"
"P13","s","2",32,"m","c",263.06,637959133463621129,637959133466251729,"red"
"P13","s","2",32,"m","c",220.049,637959133486256252,637959133488456742,"red"
"P13","s","2",32,"m","c",282.0642,637959133520273950,637959133523094592,"red"
"P13","co","1",32,"m","c",294.067,637959135561652372,637959135564593042,"red"
"P13","co","1",32,"m","c",1116.0178,637959135608945859,637959135620106037,"gray"
"P13","co","1",32,"m","c",260.0588,637959135761169460,637959135763770048,"gray"
"P13","co","1",32,"m","c",284.0649,637959135819442637,637959135822283286,"red"
"P13","co","1",32,"m","c",245.0557,637959135947921705,637959135950372262,"red"
"P13","co","1",32,"m","c",792.1786,637959135981803153,637959135989724939,"gray"
"P13","co","1",32,"m","c",516.1165,637959136029322885,637959136034484050,"red"
"P13","co","1",32,"m","c",510.1175,637959136055318767,637959136060419942,"red"
"P13","co","1",32,"m","c",349.0799,637959136131285951,637959136134776750,"red"
"P13","co","1",32,"m","c",372.0844,637959136307765882,637959136311486726,"red"
"P13","co","1",32,"m","c",217.0502,637959136341463495,637959136343633997,"red"
"P13","co","1",32,"m","c",295.0689,637959136618899358,637959136621850047,"gray"
"P13","co","1",32,"m","c",379.0875,637959136641344432,637959136645135307,"red"
"P13","co","1",32,"m","c",127.029,637959136670611050,637959136671881340,"red"
