"Participant","Condition","Trial","Age","Gender","Group","BlinkTime","BlinkStartTime","BlinkEndTime","blinkRowCounter"
"P10","co","2","18","f","e",56.0129,637959035878073759,637959035878633888,4
"P10","co","2","18","f","e",44.0095,637959039695883372,637959039696323467,3
"P10","co","2","18","f","e",134.0304,637959039777511839,637959039778852143,11
"P10","co","2","18","f","e",67.0156,637959039779292243,637959039779962399,5
"P10","co","2","18","f","e",100.0227,637959039780072421,637959039781072648,8
"P10","co","2","18","f","e",67.0156,637959039781512740,637959039782182896,5
"P10","co","2","18","f","e",67.0158,637959039782292922,637959039782963080,5
"P10","co","2","18","f","e",178.0407,637959039783403168,637959039785183575,15
"P10","co","2","18","f","e",211.0481,637959039785293599,637959039787404080,18
"P10","co","2","18","f","e",34.0076,637959039814720257,637959039815060333,2
"P10","co","2","18","f","e",44.0102,637959039832944383,637959039833384485,3
"P10","co","2","18","f","e",107.0245,637959039840926188,637959039841996433,10
"P10","co","2","18","f","e",56.0127,637959039868432408,637959039868992535,4
"P10","co","2","18","f","e",89.0203,637959039895858611,637959039896748814,3
"P10","co","2","18","f","e",36.0082,637959039901989998,637959039902350080,2
"P10","co","2","18","f","e",109.0241,637959039917793578,637959039918883819,9
"P10","co","2","18","f","e",113.0257,637959039924145009,637959039925275266,9
"P10","co","2","18","f","e",113.0257,637959039926515547,637959039927645804,9
"P10","co","2","18","f","e",113.0257,637959039930526455,637959039931656712,9
"P10","co","2","18","f","e",314.0709,637959039946840147,637959039949980856,26
"P10","co","2","18","f","e",46.0105,637959039958742842,637959039959202947,3
"P10","co","2","18","f","e",157.0359,637959039970705544,637959039972275903,14
"P10","co","2","18","f","e",62.0146,637959040003372930,637959040003993076,5
"P10","co","2","18","f","e",95.0211,637959040007063774,637959040008013985,7
"P10","co","2","18","f","e",156.0349,637959040027143115,637959040028703464,13
"P10","co","2","18","f","e",131.7613,637959040037895256,637959040039212869,9
"P10","co","2","18","f","e",202.0963,637959040087253444,637959040089274407,17
"P10","co","2","18","f","e",33.0069,637959040098487340,637959040098817409,2
"P10","co","2","18","f","e",46.0102,637959040114882375,637959040115342477,3
"P10","co","2","18","f","e",191.0436,637959040128557003,637959040130467439,16
"P10","co","2","18","f","e",303.0684,637959040131887764,637959040134918448,26
"P10","co","2","18","f","e",195.0448,637959040169686305,637959040171636753,15
"P10","co","2","18","f","e",204.0463,637959040185519892,637959040187560355,17
"P10","co","2","18","f","e",173.0398,637959040205194342,637959040206924740,14
"P10","co","2","18","f","e",156.0353,637959040242092691,637959040243653044,13
"P10","co","2","18","f","e",216.0484,637959040268768726,637959040270929210,19
"P10","co","2","18","f","e",160.0362,637959040289436827,637959040291037189,13
"P10","co","2","18","f","e",114.0251,637959040306590707,637959040307730958,9
"P10","co","2","18","f","e",33.0076,637959040310411569,637959040310741645,2
"P10","co","2","18","f","e",123.029,637959040324904848,637959040326135138,10
"P10","co","2","18","f","e",379.086,637959040340028272,637959040343819132,33
"P10","co","2","18","f","e",240.0541,637959040356131913,637959040358532454,20
"P10","co","2","18","f","e",211.0475,637959040391369886,637959040393480361,18
"P10","co","2","18","f","e",158.0359,637959040420006365,637959040421586724,13
"P10","co","2","18","f","e",112.0261,637959040437294470,637959040438414731,4
"P10","co","2","18","f","e",156.0345,637959040453818220,637959040455378565,12
"P10","co","2","18","f","e",98.0223,637959040466301036,637959040467281259,8
"P10","co","2","18","f","e",134.0305,637959040480053316,637959040481393621,5
"P10","co","2","18","f","e",232.0527,637959040492384536,637959040494705063,16
"P10","co","2","18","f","e",222.0504,637959040508936520,637959040511157024,9
"P10","co","2","18","f","e",67.0152,637959040512597351,637959040513267503,5
"P10","co","2","18","f","e",76.0177,637959040531371600,637959040532131777,6
"P10","co","2","18","f","e",133.0294,637959040540363638,637959040541693932,5
"P10","co","2","18","f","e",46.0106,637959040545884887,637959040546344993,3
"P10","co","2","18","f","e",208.0464,637959040560168117,637959040562248581,18
"P10","co","2","18","f","e",92.0206,637959040562878727,637959040563798933,8
"P10","co","2","18","f","e",169.039,637959040581012830,637959040582703220,9
