"Participant","Condition","Trial","Age","Gender","Group","MovementTime","PlaceStart","PlaceEnd","Color"
"P12","s","2",22,"m","e",1130.2565,637959116258657611,637959116269960176,"gray"
"P12","s","2",22,"m","e",935.213,637959116301637334,637959116310989464,"gray"
"P12","s","2",22,"m","e",606.1384,637959116331524090,637959116337585474,"gray"
"P12","s","2",22,"m","e",654.1481,637959116365031678,637959116371573159,"blue"
"P12","s","2",22,"m","e",767.1735,637959116395558578,637959116403230313,"red"
"P12","s","2",22,"m","e",832.189,637959116427115718,637959116435437608,"blue"
"P12","s","2",22,"m","e",713.1626,637959116511304765,637959116518436391,"blue"
"P12","s","2",22,"m","e",777.1776,637959116544832349,637959116552604125,"red"
"P12","s","2",22,"m","e",824.1875,637959116580146049,637959116588387924,"blue"
"P12","s","2",22,"m","e",382.1133,637959116621744765,637959116625565898,"red"
"P12","s","2",22,"m","e",245.0551,637959116686908296,637959116689358847,"red"
"P12","co","1",22,"m","e",352.2876,637959119438157078,637959119441679954,"red"
"P12","co","1",22,"m","e",145.0322,637959119496013577,637959119497463899,"red"
"P12","co","1",22,"m","e",449.1021,637959119581662951,637959119586153972,"gray"
"P12","co","1",22,"m","e",550.1325,637959119645857471,637959119651358796,"red"
"P12","co","1",22,"m","e",885.2027,637959119691417779,637959119700269806,"red"
"P12","co","1",22,"m","e",645.1456,637959119893406026,637959119899857482,"red"
"P12","co","1",22,"m","e",952.2155,637959119941736953,637959119951259108,"red"
"P12","co","1",22,"m","e",924.2096,637959119973164061,637959119982406157,"red"
"P13","s","1",32,"m","c",0,637959130960404923,637959130960404923,"red"
"P13","s","1",32,"m","c",449.1021,637959131002364419,637959131006855440,"gray"
"P13","s","1",32,"m","c",270.0613,637959131074330695,637959131077031308,"blue"
"P13","s","1",32,"m","c",454.1027,637959131126542509,637959131131083536,"blue"
"P13","s","1",32,"m","c",361.0817,637959131205325925,637959131208936742,"gray"
"P13","s","1",32,"m","c",392.0883,637959131244502887,637959131248423770,"gray"
"P13","s","1",32,"m","c",454.1025,637959131277410329,637959131281951354,"gray"
"P13","s","1",32,"m","c",491.1101,637959131316259127,637959131321170228,"red"
"P13","s","1",32,"m","c",521.1172,637959131353157468,637959131358368640,"blue"
"P13","s","1",32,"m","c",453.1016,637959131414991457,637959131419522473,"red"
"P13","s","1",32,"m","c",588.133,637959131448619067,637959131454500397,"blue"
"P13","s","1",32,"m","c",509.1149,637959131483767016,637959131488858165,"blue"
"P13","s","1",32,"m","c",483.1092,637959131543240470,637959131548071562,"gray"
"P13","s","1",32,"m","c",523.118,637959131626141058,637959131631372238,"gray"
"P13","s","1",32,"m","c",378.0859,637959131690515615,637959131694296474,"red"
"P13","s","1",32,"m","c",546.1233,637959131714280994,637959131719742227,"gold"
"P13","s","1",32,"m","c",738.1669,637959131741937247,637959131749318916,"red"
"P13","s","1",32,"m","c",621.1411,637959131782476421,637959131788687832,"blue"
"P13","s","1",32,"m","c",802.1825,637959131814153583,637959131822175408,"gray"
"P13","s","1",32,"m","c",483.1098,637959131844920550,637959131849751648,"gray"
"P13","s","1",32,"m","c",506.1147,637959131869996853,637959131875058000,"gray"
"P13","s","1",32,"m","c",451.9898,637959131908029141,637959131912549039,"blue"
"P13","s","1",32,"m","c",378.0854,637959131936790842,637959131940571696,"red"
"P13","s","1",32,"m","c",0,637959131970998578,637959131970998578,"blue"
