"Participant","Condition","Trial","Group","Event","viewSwitchCounter","startTime","endTime","eventDuration"
"nuP24","solo",1,"c","play_wall",37,638477382728774401,638477382757903653,2912.9252
"nuP24","solo",1,"c","build_wall",38,638477382758013659,638477382772873505,1485.9846
"nuP24","solo",1,"c","play_wall",40,638477382774203281,638477382795677150,2147.3869
"nuP24","solo",1,"c","build_wall",41,638477382796466605,638477382809976848,1351.0243
"nuP24","solo",1,"c","play_wall",42,638477382811856887,638477382828636187,1677.93
"nuP24","solo",1,"c","build_wall",43,638477382829076210,638477382846438169,1736.1959
"nuP24","solo",1,"c","play_wall",44,638477382846548176,638477382867319499,2077.1323
"nuP24","solo",1,"c","build_wall",45,638477382869099523,638477382881197403,1209.788
"nuP24","solo",1,"c","play_wall",46,638477382881317406,638477382891446021,1012.8615
"nuP24","solo",1,"c","build_wall",47,638477382893826063,638477382908139886,1431.3823
"nuP24","solo",1,"c","play_wall",48,638477382908249894,638477382936500585,2825.0691
"nuP24","solo",1,"c","build_wall",49,638477382937061015,638477382954716467,1765.5452
"nuP24","solo",1,"c","play_wall",50,638477382957840555,638477382959172708,133.2153
"nuP24","solo",1,"c","view_wall",52,638477382959612850,638477382975057131,1544.4281
"nuP24","solo",1,"c","play_wall",54,638477382976721291,638477382993476608,1675.5317
"nuP24","solo",1,"c","build_wall",55,638477382994226613,638477383005242482,1101.5869
"nuP24","solo",1,"c","play_wall",57,638477383006142482,638477383017322685,1118.0203
"nuP24","solo",1,"c","build_wall",58,638477383017882709,638477383031822945,1394.0236
"nuP24","solo",1,"c","play_wall",60,638477383031922950,638477383041783105,986.0155
"nuP24","solo",1,"c","build_wall",62,638477383042583404,638477383057468725,1488.5321
"nuP24","solo",1,"c","play_wall",64,638477383057578724,638477383067309165,973.0441
"nuP24","solo",1,"c","build_wall",65,638477383067738897,638477383085212344,1747.3447
"nuP24","solo",1,"c","play_wall",67,638477383085312346,638477383100211076,1489.873
"nuP24","solo",1,"c","build_wall",68,638477383100361837,638477383111320054,1095.8217
"nuP24","solo",1,"c","play_wall",69,638477383112887483,638477383161750822,4886.3339
"nuP24","solo",1,"c","build_wall",70,638477383162421079,638477383177247717,1482.6638
"nuP24","solo",1,"c","play_wall",72,638477383179174593,638477383182266196,309.1603
"nuP24","solo",1,"c","view_wall",73,638477383182712535,638477383190292653,758.0118
"nuP24","solo",1,"c","play_wall",74,638477383190402640,638477383227854145,3745.1505
"nuP24","solo",1,"c","build_wall",75,638477383228064130,638477383261673703,3360.9573
"nuP24","solo",1,"c","play_wall",76,638477383261783688,638477383271391245,960.7557
"nuP24","solo",1,"c","build_wall",79,638477383272691036,638477383295909750,2321.8714
"nuP24","solo",1,"c","play_wall",80,638477383296019999,638477383297025937,100.5938
"nuP24","solo",1,"c","view_wall",81,638477383298904092,638477383305359889,645.5797
"nuP24","solo",1,"c","play_wall",82,638477383306130138,638477383316691760,1056.1622
"nuP24","solo",1,"c","build_wall",83,638477383320528077,638477383327567345,703.9268
"nuP24","solo",1,"c","play_wall",84,638477383329187130,638477383365230558,3604.3428
"nuP24","solo",1,"c","build_wall",85,638477383365994989,638477383382823421,1682.8432
"nuP24","solo",1,"c","play_wall",86,638477383382953422,638477383407088145,2413.4723
"nuP24","solo",1,"c","view_wall",87,638477383407208459,638477383410969470,376.1011
"nuP24","solo",1,"c","play_wall",89,638477383412319657,638477383420926324,860.6667
"nuP24","solo",1,"c","build_wall",90,638477383421586040,638477383435194869,1360.8829
"nuP24","solo",1,"c","play_wall",91,638477383436734892,638477383440145335,341.0443
"nuP24","solo",1,"c","view_wall",92,638477383440695771,638477383444316639,362.0868
"nuP24","solo",1,"c","play_wall",93,638477383444717493,638477383462949097,1823.1604
"nuP24","solo",1,"c","build_wall",94,638477383463369167,638477383476259042,1288.9875
"nuP24","solo",1,"c","play_wall",95,638477383477909074,638477383486491355,858.2281
"nuP24","solo",1,"c","build_wall",96,638477383486801092,638477383495851268,905.0176
"nuP24","solo",1,"c","play_wall",99,638477383495951274,638477383507281735,1133.0461
"nuP24","solo",1,"c","view_wall",100,638477383508831486,638477383514260058,542.8572
"nuP24","solo",1,"c","play_wall",101,638477383515160107,638477383526060319,1090.0212
"nuP24","solo",1,"c","build_wall",102,638477383526709918,638477383538572636,1186.2718
"nuP24","solo",1,"c","play_wall",103,638477383538682654,638477383546570174,788.752
"nuP24","solo",1,"c","build_wall",104,638477383549137491,638477383559375785,1023.8294
"nuP24","solo",1,"c","play_wall",105,638477383561095825,638477383568898536,780.2711
"nuP24","solo",1,"c","build_wall",106,638477383569797351,638477383584794309,1499.6958
"nuP24","solo",1,"c","play_wall",107,638477383584894047,638477383593870856,897.6809
"nuP24","solo",1,"c","build_wall",108,638477383595630887,638477383605845768,1021.4881
