,Participant,Age,Gender,avgTotalTransferTime,avgTotalTransferTimeReal,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,avgTotalFix,avgViewFix,avgBuildFix,avgPlayFix,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
31,P26,NA,f,242.6466922,219.366676,35.88058036,266.4488636,538.9415923,36.19566761,988.8124178,658.8626803,1034.710637,1160.564499,24,43,27,49904.27344,26902.47656,17130.42969,118380.8628,14901.91927,202451.8555,c,s,366.8292411,535.8464543
32,P26,NA,f,147.5420471,149.1676392,36.08221726,156.7304688,348.0881696,55.76970109,1150.031424,482.0117188,1552.949574,1312.946733,21,43,25,57769.65625,34164.89063,11568.28125,89051.68375,2313.449836,106146.4453,c,co,477.5501302,557.5132813
33,P27,NA,f,147.0338542,134.6466956,42.17057292,257.8566028,192.0277778,46.5318287,858.6250673,636.7932292,1081.623343,845.3422759,29,55,33,44803.14063,35693.57031,19103.79688,43657.97254,5897.800926,105515.0078,c,s,314.6835938,447.0577714
34,P27,NA,f,207.4210188,156.7585487,51.646875,251.5315505,247.9963942,75.859375,1406.103624,658.7642045,1527.887153,1551.179458,27,36,10,52740.10156,41252.95313,7246.40625,54975.49531,7209.558984,71028.73828,c,co,555.9832589,504.1754808
35,P28,NA,m,268.0191449,209.3863632,46.9140625,416.967994,325.2197581,48.44363839,1007.341406,516.9484375,898.5556956,1251.165305,31,46,14,55051.27344,27855.22656,7754.226563,34119.25,5061.09654,89675.66797,c,s,429.6440972,385.2564338
36,P28,NA,m,323.9785511,212.8494661,29.90364583,287.611875,411.7846875,122.0976563,1823.27228,734.9765625,1481.195,2277.765325,25,28,2,59221.89844,37029.875,2204.929688,70392.78906,2185.732515,85056.02344,c,co,533.3783482,379.403125
37,P29,NA,m,450.7459882,394.1450576,93.72949219,282.375558,773.2611178,427.2140625,1106.514271,1032.555398,807.6236049,1361.583333,26,36,12,49017,22613.46094,11358.10938,37764.65625,5171.944271,109414.2578,c,s,501.2787388,539.8666295
38,P29,NA,m,344.5120192,316.2207474,49.80330882,326.3462171,774.1777344,114.5557292,1175.892857,901.9832031,1156.631114,1350.046186,24,36,18,45901.57031,26602.51563,18039.66406,87162.85851,7560.128472,89652.20703,c,co,524.7490809,518.5086806
39,P3,0,m,180.600179,182.9748411,32.9628125,260.9303668,404.5830078,33.42317708,1043.581669,413.4375,1309.615885,1238.764648,24,48,24,59460.70313,31430.78125,10335.9375,95355.91406,10039.78086,143099.3281,e,s,,
40,P3,0,m,153.5375193,174.9349618,39.25878906,209.8988971,406.2238051,44.35835598,1289.328711,642.0218099,2643.237592,1097.50601,17,41,23,42802.73438,44935.03906,15408.52344,133701.7894,20836.46615,150967.0273,e,co,,
41,P30,18,f,163.5857915,158.6216802,44.60742188,245.4202474,274.4225,70.03655134,789.4975405,652.2157866,773.3939303,872.5138561,26,52,29,46243.23438,20108.24219,18914.25781,94056.09321,2135.125355,124843.8906,c,s,423.4428711,564.2536272
