"","Participant","Age","Gender","avgTotalTransferTime","avgView2Play","avgBuild2Play","avgPlay2Build","avgPlay2View","totalView2Play","totalBuild2Play","totalPlay2Build","totalPlay2View","totalBuildWallCount","totalPlayWallCount","totalViewWallCount","totalPlayWallGazeTime","totalBuildWallGazeTime","totalViewWallGazeTime","avgTimeBetweenViewWallChecks","avgGrab2Build","avgGameTime","group","condition"
"22","P21",NA,"m",112.127261513158,66.2890625,238.110576923077,615.293619791667,96.1192708333333,861.7578125,3095.4375,7383.5234375,1441.7890625,12,26,15,55609.53125,31304.1015625,15084.0234375,141884.310416667,3511.38715277778,164062.19140625,"c","co"
"23","P22",NA,"f",82.2600381540698,38.640625,202.674932065217,356.893110795455,43.137109375,772.8125,4661.5234375,7851.6484375,862.7421875,22,43,20,190200.8671875,38764.625,17427.5546875,136125.905078125,2350.39808238636,131663.359375,"c","s"
"24","P22",NA,"f",94.5762101715686,43.7809244791667,296.401041666667,430.763494318182,63.5531850961538,1050.7421875,7113.625,9476.796875,1652.3828125,22,48,26,151830.171875,33305.3203125,18299.1015625,94291.2352764423,3304.39108455882,168801.28515625,"c","co"
"25","P23",NA,"m",128.127112563776,44.0089285714286,444.451729910714,400.009259259259,44.9441964285714,924.1875,12444.6484375,10800.25,943.828125,27,49,21,155085.828125,20737.4296875,12655.6875,54155.8370535714,3102.51608455882,96804.46875,"c","s"
"26","P23",NA,"m",76.2298233695652,47.900390625,229.189655172414,296.528180803571,42.8399784482759,1341.2109375,6646.5,8302.7890625,1242.359375,28,57,29,58709.125,26976.2734375,15390.0703125,128922.458243534,20389.8921875,110295.23828125,"c","co"
"27","P24",NA,"f",171.671123798077,74.3333333333333,454.354166666667,323.853170955882,66,446,14993.6875,11011.0078125,330,34,39,5,133825.9375,22933.9765625,6880,61069.175,6041.36383928571,87771.31640625,"c","s"
"28","P24",NA,"f",145.484427787162,37.5,287.781770833333,383.945068359375,77.4,225,8633.453125,12286.2421875,387,32,36,5,59044.453125,32955.1015625,4575.9921875,46429.9515625,9146.12458881579,74309.5234375,"c","co"
"29","P25",NA,"m",54.1963315217391,54.54296875,171.238051470588,271.462139423077,79.3942522321429,1309.03125,2911.046875,3529.0078125,2223.0390625,13,41,28,37170.7578125,34639.4921875,33410.2421875,184954.376953125,24303.6802455357,260480.3515625,"c","s"
"30","P25",NA,"m",63.5649816176471,92.4293154761905,193.471966911765,302.133854166667,43.5,1941.015625,3289.0234375,4532.0078125,1044,15,38,24,55333.34375,27618.171875,23225.125,157521.8671875,5756.5400390625,140358.91015625,"c","co"
"31","P26",NA,"f",98.5760279605263,35.8805803571429,266.448863636364,538.941592261905,36.1956676136364,753.4921875,5861.875,11317.7734375,796.3046875,21,43,22,51589.421875,26902.4765625,17130.4296875,145285.604403409,14901.9192708333,202451.85546875,"c","s"
"32","P26",NA,"f",71.101953125,36.0822172619048,156.73046875,348.088169642857,55.7697010869565,757.7265625,3448.0703125,7309.8515625,1282.703125,21,43,23,58008.3671875,35536.3046875,11568.28125,96795.308423913,2313.44983552632,106146.4453125,"c","co"
"33","P27",NA,"f",66.0117855235043,42.1705729166667,257.856602822581,192.027777777778,46.5318287037037,1012.09375,7993.5546875,5184.75,1256.359375,27,55,27,148518.3828125,35693.5703125,19103.796875,53359.744212963,5897.80092592593,105515.0078125,"c","s"
"34","P27",NA,"f",97.1707512842466,51.646875,251.531550480769,247.996394230769,75.859375,516.46875,6539.8203125,6447.90625,682.734375,26,36,9,145936.3515625,41252.953125,7246.40625,61083.8836805556,7209.558984375,71028.73828125,"c","co"
