TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637959021922100760,P9,tut,1,25,f,,HeadPos,-0.07293281,0.6540403,-0.04570171,12.21188,7.181008,0.1129544
637959021922210736,P9,tut,1,25,f,,HeadPos,-0.07288392,0.6578434,-0.04635018,12.21146,7.180982,0.1118742
637959021922330766,P9,tut,1,25,f,,HeadPos,-0.07280265,0.6613904,-0.04686256,12.21111,7.181021,0.1108568
637959021922450787,P9,tut,1,25,f,,HeadPos,-0.07256646,0.6648594,-0.0474464,12.21071,7.181038,0.1098347
637959021922570815,P9,tut,1,25,f,,HeadPos,-0.07213973,0.6679201,-0.04793037,12.21039,7.181015,0.1088569
637959021922690844,P9,tut,1,25,f,,HeadPos,-0.07179669,0.6709607,-0.0485761,12.21008,7.181051,0.1079291
637959021922800866,P9,tut,1,25,f,,HeadPos,-0.07147618,0.6739402,-0.04917298,12.20975,7.18103,0.1069893
637959021922910890,P9,tut,1,25,f,,HeadPos,-0.07147057,0.6766834,-0.04998732,12.2095,7.181047,0.1061457
637959021923030927,P9,tut,1,25,f,,HeadPos,-0.0713826,0.6794953,-0.05058263,12.20918,7.181,0.1052481
637959021923130944,P9,tut,1,25,f,,HeadPos,-0.07149525,0.6819485,-0.05118862,12.2089,7.180944,0.1044284
637959021923250969,P9,tut,1,25,f,,HeadPos,-0.07147399,0.6844918,-0.05175251,12.20859,7.180901,0.1036674
637959021923360999,P9,tut,1,25,f,,HeadPos,-0.07150926,0.6865699,-0.05221353,12.20832,7.180882,0.1028768
637959021923471017,P9,tut,1,25,f,,HeadPos,-0.07140405,0.6885739,-0.05265171,12.20805,7.180856,0.1022167
637959021923591045,P9,tut,1,25,f,,HeadPos,-0.07131051,0.6903878,-0.05309269,12.20778,7.18082,0.1014861
637959021923701077,P9,tut,1,25,f,,HeadPos,-0.07134849,0.6920827,-0.05362686,12.20745,7.180766,0.1009158
637959021923811100,P9,tut,1,25,f,,HeadPos,-0.07152952,0.6936612,-0.05419935,12.20718,7.180714,0.1003348
637959021923921127,P9,tut,1,25,f,,HeadPos,-0.07166196,0.6952112,-0.0548069,12.207,7.180667,0.09965847
637959021924031144,P9,tut,1,25,f,,HeadPos,-0.07199199,0.6967283,-0.05532056,12.20675,7.180573,0.09911668
637959021924141169,P9,tut,1,25,f,,HeadPos,-0.07232264,0.6981582,-0.05581121,12.2065,7.180493,0.0985169
637959021924251193,P9,tut,1,25,f,,HeadPos,-0.07253024,0.6994885,-0.0562541,12.20623,7.180458,0.09800413
637959021924361224,P9,tut,1,25,f,,HeadPos,-0.07252841,0.7006062,-0.05657212,12.20599,7.180408,0.09744864
637959021924461245,P9,tut,1,25,f,,HeadPos,-0.07255667,0.7016802,-0.05678484,12.20579,7.180415,0.09699625
637959021924571265,P9,tut,1,25,f,,HeadPos,-0.07252295,0.7026106,-0.05706492,12.20557,7.180365,0.09662437
637959021924691294,P9,tut,1,25,f,,HeadPos,-0.07247034,0.7034545,-0.05748124,12.20533,7.180325,0.0961461
637959021924791322,P9,tut,1,25,f,,HeadPos,-0.07253149,0.704307,-0.0578687,12.20507,7.180265,0.09579524
637959021924901344,P9,tut,1,25,f,,HeadPos,-0.07266076,0.7051419,-0.05827952,12.20485,7.180179,0.09535089
637959021925011367,P9,tut,1,25,f,,HeadPos,-0.07290528,0.7058709,-0.0587993,12.20469,7.180159,0.09500888
637959021925121391,P9,tut,1,25,f,,HeadPos,-0.07307933,0.7066526,-0.05937124,12.20447,7.180065,0.09470724
637959021925221423,P9,tut,1,25,f,,HeadPos,-0.07319617,0.7073333,-0.05988861,12.2043,7.179971,0.09425805
637959021925331441,P9,tut,1,25,f,,HeadPos,-0.07339629,0.7080413,-0.06044831,12.20396,7.17996,0.09418885
637959021925431461,P9,tut,1,25,f,,HeadPos,-0.0734375,0.7086918,-0.06097344,12.20374,7.179882,0.09381986
637959021925531488,P9,tut,1,25,f,,HeadPos,-0.07342831,0.7093085,-0.06154117,12.20342,7.179815,0.09359279
637959021925631507,P9,tut,1,25,f,,HeadPos,-0.0734127,0.7099465,-0.06211488,12.2032,7.179729,0.0932702
637959021925741533,P9,tut,1,25,f,,HeadPos,-0.07347824,0.7105771,-0.06258053,12.2029,7.179666,0.09310964
637959021925851557,P9,tut,1,25,f,,HeadPos,-0.07361165,0.7111862,-0.06318383,12.2027,7.179564,0.09278608
637959021925981597,P9,tut,1,25,f,,HeadPos,-0.07380437,0.7118194,-0.06368626,12.20241,7.179451,0.09266288
637959021926081606,P9,tut,1,25,f,,HeadPos,-0.07391737,0.7125059,-0.06411317,12.20222,7.179326,0.09241111
637959021926201638,P9,tut,1,25,f,,HeadPos,-0.07406668,0.7131683,-0.06458045,12.20204,7.179237,0.09210282
637959021926311667,P9,tut,1,25,f,,HeadPos,-0.07419203,0.7138525,-0.06485421,12.20186,7.179181,0.09200069
637959021926421689,P9,tut,1,25,f,,HeadPos,-0.07428632,0.7146195,-0.06508544,12.20172,7.179111,0.09170256
637959021926521712,P9,tut,1,25,f,,HeadPos,-0.07450897,0.7154261,-0.06521572,12.20155,7.179048,0.09150825
637959021926631741,P9,tut,1,25,f,,HeadPos,-0.07448857,0.7162695,-0.06534786,12.20144,7.178968,0.09126797
637959021926741755,P9,tut,1,25,f,,HeadPos,-0.07460682,0.7171972,-0.06533235,12.20134,7.178966,0.09095526
637959021926841796,P9,tut,1,25,f,,HeadPos,-0.07466254,0.7181796,-0.06515858,12.20115,7.179028,0.09092768
637959021926951807,P9,tut,1,25,f,,HeadPos,-0.07438552,0.7192604,-0.06494704,12.20107,7.179073,0.09060965
637959021927071831,P9,tut,1,25,f,,HeadPos,-0.07411685,0.7204531,-0.06452375,12.20084,7.179249,0.0906217
637959021927181859,P9,tut,1,25,f,,HeadPos,-0.0737851,0.7217333,-0.06417425,12.20077,7.179382,0.0902834
637959021927291884,P9,tut,1,25,f,,HeadPos,-0.07334416,0.7231515,-0.06358671,12.20076,7.179505,0.08994498
637959021927401921,P9,tut,1,25,f,,HeadPos,-0.07284145,0.7246032,-0.06295684,12.20068,7.179719,0.08972047
