"Participant","Condition","Trial","Group","startTime","endTime","Duration_Time","hand_avgVel","hand_peak_vel","hand_avg_accel","hand_peak_accel","hand_time2PeakVel","hand_time2PeakAccel","handRot_avgVel","handRot_peak_vel","handRot_avg_accel","handRot_peak_accel","handRot_time2PeakVel","handRot_time2PeakAccel","headRot_avgVel","headRot_peak_vel","headRot_avg_accel","headRot_peak_accel","headRot_time2PeakVel","headRot_time2PeakAccel","gaze_avgVel","gaze_peak_vel","gaze_avg_accel","gaze_peak_accel","gaze_time2PeakVel","gaze_time2PeakAccel"
"nuP13","comp",1,"Aut",638336712725473942,638336712734733923,925.9981,0.420710177523766,0.763678664342216,1.97762793416711,3.73027885061144,3159985,1770000,94.6974085534313,241.513974606123,548.057010877563,1344.81846610414,3470004,2289981,87.7033505249487,221.509971947617,489.506614692843,1210.13131322859,3470004,2289981,86.8321522739833,268.314808126174,1046.04859155195,2612.02721023869,4279972,2069979
"nuP13","comp",1,"Aut",638336712768434216,638336712776545830,811.1614,0.384435537173044,0.784702465013773,2.12702512784774,3.28624854195078,3880094,2450104,78.1456313166927,193.882624028014,463.944268497881,975.582714689129,3780091,2230107,72.7597874289347,183.389455197825,438.788346671236,927.291071148462,3780091,1999989,59.1996949453931,157.183296895645,691.136421129713,1698.26451316904,4150108,3330114
"nuP13","comp",1,"Aut",638336712805554944,638336712817944356,1238.9412,0.385670344116075,0.839064462208321,1.81752103935279,4.14539557992974,4417471,3253317,94.6305652465417,265.830331393278,461.099384466161,1419.42511351667,4417471,2278614,72.4347682141868,219.59803307002,372.115425878351,1103.17863726949,4527445,2608618,115.511289698329,414.173657135403,1926.33478160314,4152.09787250181,8459416,8459416
"nuP13","comp",1,"Aut",638336712829594434,638336712838730703,913.6269,0.317378703370243,1.03048916279764,2.09495877537282,3.7510322330717,3890729,3130724,77.1093289063748,283.940319390446,540.414804758502,1365.94566313689,4550816,4640822,65.2101810208609,273.761901921326,510.449919574567,1303.10050060016,4450824,4550816,84.3103019203386,241.718605153234,1120.84119907813,2694.58274620337,2210733,1690084
"nuP13","comp",1,"Aut",638336712909763044,638336712927927516,1816.4472,0.226099255015635,0.642043893723278,1.07986944487241,2.54250728894468,5063076,2439983,57.4256446814707,229.057081251167,296.64106111159,884.781034304446,5370222,7000211,51.7414857396832,230.198090840892,292.941364622461,1124.55638956753,5163074,2770104,43.5312266624757,208.115869236229,634.443367873112,2826.66922020821,8170205,8240214
"nuP13","comp",1,"Aut",638336712978992984,638336712989552944,1055.996,0.38682884908775,0.936827833301609,2.11518541588296,4.16998748066082,3950001,1980001,91.4502822636333,260.405384295459,540.898875220271,1457.7327699701,4059982,2419985,81.9973718488391,247.064723211279,481.865508640139,1366.55015999995,3950001,2519987,47.0812549519347,197.276331713499,422.823257618664,1891.90809952146,5159974,4269989
"nuP13","comp",1,"Aut",638336713019095938,638336713027874538,877.86,0.406367373542727,0.77786739003381,2.00802082867626,3.35357144228304,4145423,1389996,99.5079656224801,236.659461877827,550.234082255929,1456.80863240701,4365431,4861816,90.6804118644849,225.726060151751,526.622731659075,1366.13623408615,4035421,4761829,57.0925299757397,189.261063540072,658.594085928861,1968.71255286047,4631821,3885433
"nuP13","comp",1,"Aut",638336713076854944,638336713085354303,849.9359,0.507606547592755,0.967719578368749,2.87643599402069,4.42076180335536,3852113,2155978,102.812720910991,246.194801145951,621.808837251813,1265.98075476818,4268189,5488185,98.4093470596632,249.794167919479,609.184773175602,1226.45569828346,4268189,2831985,75.5227604928333,265.592526862692,1046.15336366219,2478.0856915516,5338167,4348182
"nuP13","comp",1,"Aut",638336713142348922,638336713152299754,995.0832,0.381966187870992,0.717869422517367,1.97251390940441,4.17108782455829,4240896,2450896,124.255385004735,290.094418921369,662.613821074691,1686.04954527662,4470885,2130902,104.710662968595,276.456290409767,584.065609295985,1494.66500110109,4470885,2450896,50.1684384409035,144.312744417617,728.918192313327,1748.9585665111,2110910,2110910
"nuP13","comp",1,"Aut",638336713245140899,638336713259476772,1433.5873,0.273902990712504,0.715104793134184,1.16623054836678,2.7186965237816,4959998,5489981,63.7207583587597,285.920435365963,471.348013842029,1783.90043155065,3689983,2450004,59.6633957783124,273.192659530132,440.632397580699,1775.29901554702,3569998,2339988,49.9518419762105,203.514192960714,619.078393919082,2412.47868175227,2199982,2089980
