"","TimeEpoch","Participant","Condition","Group","mean_percent"
"311",0.2,"nuP11","solo","e",0.837004960954426
"312",0.2,"nuP12","solo","e",1.61111830959671
"313",0.2,"nuP13","co","e",0.358258399196171
"314",0.2,"nuP13","comp","e",0.105420806902126
"315",0.2,"nuP13","solo","e",1.19740690853326
"316",0.2,"nuP14","co","e",-1.23111880593501
"317",0.2,"nuP14","comp","e",-0.487230392388712
"318",0.2,"nuP14","solo","e",0.029659076118027
"319",0.2,"nuP15","co","c",-1.80030051649185
"320",0.2,"nuP15","comp","c",-0.586963209847662
"321",0.2,"nuP15","solo","c",0.493168385214918
"322",0.2,"nuP17","co","c",-0.808293970030591
"323",0.2,"nuP17","comp","c",-0.146209896016507
"324",0.2,"nuP17","solo","c",1.33609050096294
"325",0.2,"nuP18","co","c",-0.644705913498115
"326",0.2,"nuP18","comp","c",0.676021899933309
"327",0.2,"nuP18","solo","c",0.278068200633933
"328",0.2,"nuP19","co","c",0.285147827784657
"329",0.2,"nuP19","comp","c",-0.394140754637193
"330",0.2,"nuP19","solo","c",1.19568962506206
"331",0.2,"nuP20","co","c",-1.67193310492179
"332",0.2,"nuP20","comp","c",-1.18690174101273
"333",0.2,"nuP20","solo","c",-0.735892629635791
"334",0.2,"nuP21","co","c",-0.743527854224335
"335",0.2,"nuP21","comp","c",-0.116567063278695
"336",0.2,"nuP21","solo","c",1.32059698924129
"337",0.2,"nuP22","co","c",-3.05423287383937
"338",0.2,"nuP22","comp","c",-4.19897937938937
"339",0.2,"nuP22","solo","c",-2.46104008506382
"340",0.2,"nuP23","co","c",1.37333844956437
"341",0.2,"nuP23","comp","c",1.78792340488177
"342",0.2,"nuP23","solo","c",1.33423105321092
"343",0.2,"nuP24","co","c",-1.35276310969677
"344",0.2,"nuP24","comp","c",0.159537376725093
"345",0.2,"nuP24","solo","c",-0.974528456001038
"346",0.2,"nuP25","co","c",0.390555716228756
"347",0.2,"nuP25","comp","c",-0.756043544168935
"348",0.2,"nuP25","solo","c",1.09028744421058
"349",0.2,"nuP28","co","c",0.87586171596747
"350",0.2,"nuP28","comp","c",1.36554601705177
"351",0.2,"nuP28","comp","e",0.234141491910581
"352",0.2,"nuP28","solo","c",0.888824400928328
"353",0.2,"nuP29","co","c",-1.46693800483002
"354",0.2,"nuP29","comp","c",-0.977362928197871
"355",0.2,"nuP29","solo","c",-0.113462744514304
"356",0.2,"nuP30","co","c",1.1800360914135
"357",0.2,"nuP30","comp","c",0.590359768141707
"358",0.2,"nuP30","solo","c",0.281793782371421
"359",0.2,"nuP31","solo","c",1.31614120404531
"360",0.2,"nuP32","co","c",-0.167501213998294
"361",0.2,"nuP32","comp","c",0.68729236598775
"362",0.2,"nuP32","solo","c",0.478796183808019
"363",0.2,"nuP33","solo","c",0.356756410737669
"364",0.2,"nuP34","co","c",0.00151014591444197
"365",0.2,"nuP34","comp","c",1.23758842818509
"366",0.2,"nuP34","solo","c",0.593957371859915
"367",0.2,"nuP36","co","c",0.068295657792101
"368",0.2,"nuP36","comp","c",-0.787207443272103
"369",0.2,"nuP36","solo","c",-1.33347411647624
"370",0.2,"nuP37","co","c",-1.19906930507508
"371",0.2,"nuP37","comp","c",-0.886910298743333
"372",0.2,"nuP37","solo","c",-1.34868348706481
"373",0.2,"nuP38","co","c",-1.6120434908559
"374",0.2,"nuP38","comp","c",-3.61282187322795
"375",0.2,"nuP38","solo","c",-1.28000775819292
"376",0.2,"p012","co","e",1.87755177122847
"377",0.2,"p012","comp","e",1.91388050859992
"378",0.2,"p012","solo","e",1.52109816304066
"379",0.2,"sd10","co","e",-0.624951652122063
"380",0.2,"sd10","comp","e",-0.710823418417592
