TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637958192577963844,P6,s,tut,23,m,,HeadPos,-0.01322667,0.9193674,-0.02981021,13.00808,7.22028,0.3485602
637958192578083872,P6,s,tut,23,m,,HeadPos,-0.01347477,0.919333,-0.02980429,13.00815,7.220312,0.34881
637958192578193901,P6,s,tut,23,m,,HeadPos,-0.01367693,0.9192236,-0.02967671,13.00827,7.220297,0.3489904
637958192578303922,P6,s,tut,23,m,,HeadPos,-0.01387545,0.9190837,-0.02976992,13.00834,7.220324,0.3492297
637958192578413949,P6,s,tut,23,m,,HeadPos,-0.01407689,0.9189363,-0.02981248,13.00846,7.220255,0.3494264
637958192578523979,P6,s,tut,23,m,,HeadPos,-0.01430648,0.9187267,-0.02988234,13.00863,7.220176,0.3496447
637958192578634002,P6,s,tut,23,m,,HeadPos,-0.01443394,0.918498,-0.03001612,13.00879,7.220077,0.3498791
637958192578744028,P6,s,tut,23,m,,HeadPos,-0.01445696,0.9182597,-0.03009246,13.00893,7.219939,0.3500514
637958192578864045,P6,s,tut,23,m,,HeadPos,-0.01435863,0.918038,-0.03026449,13.00914,7.219845,0.3501756
637958192578974072,P6,s,tut,23,m,,HeadPos,-0.01451073,0.9177858,-0.03028898,13.00934,7.219763,0.3503348
637958192579074104,P6,s,tut,23,m,,HeadPos,-0.01448949,0.9175362,-0.03016545,13.00961,7.2197,0.3504588
637958192579204124,P6,s,tut,23,m,,HeadPos,-0.0143627,0.9172629,-0.02997067,13.00983,7.219628,0.3505785
637958192579354168,P6,s,tut,23,m,,HeadPos,-0.01418007,0.9170639,-0.02984099,13.01002,7.219615,0.3506256
637958192579464184,P6,s,tut,23,m,,HeadPos,-0.01389198,0.9168438,-0.0297029,13.01017,7.219566,0.3507452
637958192579574211,P6,s,tut,23,m,,HeadPos,-0.01359935,0.9166473,-0.02947306,13.01042,7.219518,0.3508204
637958192579674231,P6,s,tut,23,m,,HeadPos,-0.01341599,0.9164723,-0.02920199,13.0107,7.219466,0.350982
637958192579774250,P6,s,tut,23,m,,HeadPos,-0.01327903,0.9162493,-0.02915752,13.011,7.21936,0.3510701
637958192579884276,P6,s,tut,23,m,,HeadPos,-0.01303887,0.916055,-0.02929328,13.01135,7.219225,0.351155
637958192579984300,P6,s,tut,23,m,,HeadPos,-0.01272315,0.9158626,-0.02936018,13.01167,7.219081,0.3512272
637958192580104323,P6,s,tut,23,m,,HeadPos,-0.01240689,0.9157072,-0.02949701,13.01191,7.218973,0.3513396
637958192580214350,P6,s,tut,23,m,,HeadPos,-0.01215121,0.915606,-0.02946289,13.01218,7.218868,0.3514012
637958192580324377,P6,s,tut,23,m,,HeadPos,-0.01183152,0.9155339,-0.02952488,13.01251,7.218755,0.3514514
637958192580434400,P6,s,tut,23,m,,HeadPos,-0.01166847,0.9154323,-0.02961226,13.01278,7.218649,0.3514934
637958192580544426,P6,s,tut,23,m,,HeadPos,-0.0115044,0.91536,-0.02962275,13.01312,7.218501,0.3515112
637958192580654453,P6,s,tut,23,m,,HeadPos,-0.01147166,0.9152727,-0.02983665,13.01347,7.218326,0.3515121
637958192580764472,P6,s,tut,23,m,,HeadPos,-0.01139808,0.9151765,-0.03005552,13.01384,7.218123,0.3515198
637958192580874510,P6,s,tut,23,m,,HeadPos,-0.01133247,0.9150948,-0.03040627,13.01424,7.217993,0.3515075
637958192580984528,P6,s,tut,23,m,,HeadPos,-0.01125722,0.9149999,-0.03077744,13.01455,7.217786,0.3514898
637958192581104552,P6,s,tut,23,m,,HeadPos,-0.01126897,0.9149459,-0.03128718,13.01488,7.217584,0.3514664
637958192581214572,P6,s,tut,23,m,,HeadPos,-0.01135499,0.9148852,-0.03189516,13.01514,7.217352,0.3513951
637958192581324595,P6,s,tut,23,m,,HeadPos,-0.01147944,0.9148,-0.03239322,13.01547,7.217116,0.351348
637958192581434627,P6,s,tut,23,m,,HeadPos,-0.01156636,0.9146836,-0.03289913,13.01582,7.216923,0.3512903
637958192581544652,P6,s,tut,23,m,,HeadPos,-0.01176591,0.9145994,-0.0334539,13.01612,7.216749,0.3512
637958192581654686,P6,s,tut,23,m,,HeadPos,-0.01188036,0.9145308,-0.03398264,13.01636,7.216579,0.3510883
637958192581774701,P6,s,tut,23,m,,HeadPos,-0.01193814,0.9144821,-0.03447213,13.01671,7.216506,0.3509385
637958192581894725,P6,s,tut,23,m,,HeadPos,-0.01207943,0.9144361,-0.03492586,13.01703,7.216381,0.3508153
637958192581994761,P6,s,tut,23,m,,HeadPos,-0.01223063,0.9144351,-0.03551419,13.01732,7.216306,0.3506722
637958192582104777,P6,s,tut,23,m,,HeadPos,-0.01244218,0.9144378,-0.03603033,13.01766,7.216203,0.3505382
637958192582214802,P6,s,tut,23,m,,HeadPos,-0.01268337,0.9144379,-0.03657955,13.01796,7.216129,0.3504478
637958192582324825,P6,s,tut,23,m,,HeadPos,-0.01289168,0.9144194,-0.03711943,13.01828,7.216037,0.3503204
637958192582434852,P6,s,tut,23,m,,HeadPos,-0.01300173,0.9144272,-0.0375855,13.01859,7.216006,0.3502482
637958192582544869,P6,s,tut,23,m,,HeadPos,-0.01305404,0.9144351,-0.03797467,13.01893,7.215965,0.3501431
637958192582654902,P6,s,tut,23,m,,HeadPos,-0.0130982,0.9143854,-0.03829635,13.01925,7.215976,0.350033
637958192582764923,P6,s,tut,23,m,,HeadPos,-0.01310672,0.9143677,-0.0385235,13.01957,7.215982,0.3499021
637958192582884969,P6,s,tut,23,m,,HeadPos,-0.01311131,0.9143125,-0.03873947,13.01988,7.216,0.349785
637958192582984977,P6,s,tut,23,m,,HeadPos,-0.01306225,0.9142625,-0.03882105,13.02016,7.216021,0.3496667
637958192583105000,P6,s,tut,23,m,,HeadPos,-0.01311508,0.9141954,-0.03888893,13.0204,7.216027,0.3495213
637958192583215031,P6,s,tut,23,m,,HeadPos,-0.01313899,0.9140865,-0.03892852,13.02068,7.216083,0.3493963
637958192583325046,P6,s,tut,23,m,,HeadPos,-0.01302034,0.9139959,-0.0389798,13.02098,7.21614,0.3492836
637958192583435076,P6,s,tut,23,m,,HeadPos,-0.01291236,0.9139061,-0.03904432,13.02125,7.216122,0.3491644
637958192583545100,P6,s,tut,23,m,,HeadPos,-0.0126484,0.9138253,-0.03917847,13.0215,7.216186,0.3489993
637958192583665122,P6,s,tut,23,m,,HeadPos,-0.01241608,0.9137643,-0.03934022,13.0218,7.216268,0.3488545
637958192583775149,P6,s,tut,23,m,,HeadPos,-0.01222862,0.9137014,-0.03946858,13.02204,7.216357,0.3487043
637958192583885177,P6,s,tut,23,m,,HeadPos,-0.01219466,0.9136583,-0.03944298,13.02233,7.216465,0.3485296
637958192583995199,P6,s,tut,23,m,,HeadPos,-0.01216687,0.9136434,-0.0395238,13.02256,7.216614,0.3483643
637958192584115226,P6,s,tut,23,m,,HeadPos,-0.01205701,0.9136779,-0.03944302,13.02284,7.216788,0.3482119
637958192584235253,P6,s,tut,23,m,,HeadPos,-0.01186041,0.9137209,-0.03948772,13.02309,7.216922,0.3480249
637958192584355285,P6,s,tut,23,m,,HeadPos,-0.01162538,0.9137829,-0.03944956,13.02333,7.217056,0.3478241
637958192584455313,P6,s,tut,23,m,,HeadPos,-0.01131096,0.9138948,-0.03948751,13.02362,7.217228,0.3476231
637958192584565331,P6,s,tut,23,m,,HeadPos,-0.01098265,0.9140385,-0.03952711,13.02385,7.217356,0.34743
637958192584675352,P6,s,tut,23,m,,HeadPos,-0.01065969,0.9142292,-0.03960549,13.02405,7.217453,0.3472478
637958192584785379,P6,s,tut,23,m,,HeadPos,-0.01037834,0.9144253,-0.0397295,13.02427,7.217633,0.3470826
637958192584905407,P6,s,tut,23,m,,HeadPos,-0.01007921,0.9146577,-0.03969961,13.02447,7.217725,0.3468869
637958192585015429,P6,s,tut,23,m,,HeadPos,-0.009816831,0.9148871,-0.03957828,13.02471,7.217819,0.346711
637958192585125456,P6,s,tut,23,m,,HeadPos,-0.009672543,0.9151188,-0.03947997,13.02487,7.217923,0.3465271
637958192585235479,P6,s,tut,23,m,,HeadPos,-0.009436983,0.915388,-0.03944384,13.02505,7.217999,0.3463431
637958192585345506,P6,s,tut,23,m,,HeadPos,-0.009395782,0.9156271,-0.0395193,13.02512,7.218069,0.3461441
637958192585465533,P6,s,tut,23,m,,HeadPos,-0.00932085,0.9158667,-0.03966116,13.02521,7.218092,0.3459623
637958192585615571,P6,s,tut,23,m,,HeadPos,-0.009476164,0.9161142,-0.0399635,13.0253,7.218116,0.34576
637958192585715587,P6,s,tut,23,m,,HeadPos,-0.009486413,0.9163382,-0.04022501,13.02536,7.218049,0.3455986
637958192585825613,P6,s,tut,23,m,,HeadPos,-0.009642949,0.9165745,-0.04060437,13.02539,7.217964,0.3454645
637958192585925636,P6,s,tut,23,m,,HeadPos,-0.009682533,0.9167719,-0.04093603,13.0254,7.217875,0.3453036
637958192586035658,P6,s,tut,23,m,,HeadPos,-0.009677607,0.916945,-0.04125269,13.02545,7.217806,0.3451444
637958192586145682,P6,s,tut,23,m,,HeadPos,-0.009792536,0.9171637,-0.04148526,13.02543,7.217682,0.3449901
637958192586255708,P6,s,tut,23,m,,HeadPos,-0.01015341,0.9173586,-0.04167254,13.02531,7.217489,0.3448727
637958192586355730,P6,s,tut,23,m,,HeadPos,-0.01051971,0.9175196,-0.04194294,13.02524,7.217375,0.3447475
637958192586465754,P6,s,tut,23,m,,HeadPos,-0.01097208,0.9176165,-0.04237566,13.02516,7.217252,0.3446131
637958192586565779,P6,s,tut,23,m,,HeadPos,-0.01144186,0.9176763,-0.04273906,13.025,7.217099,0.3445257
637958192586665801,P6,s,tut,23,m,,HeadPos,-0.01185757,0.9177198,-0.04308859,13.02489,7.21696,0.344417
637958192586755822,P6,s,tut,23,m,,HeadPos,-0.01217811,0.9177442,-0.04357128,13.02471,7.216831,0.3442297
637958192586855845,P6,s,tut,23,m,,HeadPos,-0.01257578,0.9177651,-0.04395332,13.02458,7.216711,0.3441259
637958192586955873,P6,s,tut,23,m,,HeadPos,-0.01288416,0.917749,-0.0442859,13.02453,7.21662,0.3440357
637958192587065889,P6,s,tut,23,m,,HeadPos,-0.01327368,0.9177132,-0.04470908,13.02443,7.216558,0.3439701
637958192587175919,P6,s,tut,23,m,,HeadPos,-0.01359824,0.917653,-0.04498041,13.0243,7.216458,0.3439049
637958192587295945,P6,s,tut,23,m,,HeadPos,-0.01383814,0.9175823,-0.04526792,13.02419,7.216406,0.3438118
637958192587405964,P6,s,tut,23,m,,HeadPos,-0.0140905,0.9174939,-0.04549458,13.02406,7.216328,0.3437553
637958192587515994,P6,s,tut,23,m,,HeadPos,-0.01414259,0.9174228,-0.04568279,13.0239,7.216329,0.3436933
637958192587626015,P6,s,tut,23,m,,HeadPos,-0.01414277,0.9173225,-0.04593328,13.02375,7.216315,0.3436345
637958192587726041,P6,s,tut,23,m,,HeadPos,-0.01406059,0.9172281,-0.04596521,13.02362,7.216316,0.3435839
637958192587846066,P6,s,tut,23,m,,HeadPos,-0.01399305,0.9171622,-0.04607206,13.02352,7.216346,0.3434893
637958192587956089,P6,s,tut,23,m,,HeadPos,-0.01389029,0.9170973,-0.04616758,13.02338,7.216376,0.3434604
637958192588066112,P6,s,tut,23,m,,HeadPos,-0.01375283,0.9170076,-0.04621366,13.02326,7.216382,0.3434021
637958192588176137,P6,s,tut,23,m,,HeadPos,-0.01365537,0.9169275,-0.04614443,13.02313,7.216391,0.3433771
637958192588286166,P6,s,tut,23,m,,HeadPos,-0.0135068,0.9168379,-0.04630138,13.02296,7.21648,0.3433419
637958192588406190,P6,s,tut,23,m,,HeadPos,-0.01323584,0.9167593,-0.04630264,13.0228,7.21654,0.3433101
637958192588516217,P6,s,tut,23,m,,HeadPos,-0.0128675,0.9166952,-0.04623716,13.02265,7.216612,0.3432758
637958192588646246,P6,s,tut,23,m,,HeadPos,-0.01252264,0.9166081,-0.04600998,13.02253,7.216684,0.3432253
637958192588746266,P6,s,tut,23,m,,HeadPos,-0.0121023,0.9165488,-0.04573213,13.02234,7.216759,0.3432019
