"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"sd12","solo",1,"e","grab",408.1201,638265792385684544,638265792389765745,"Regular Gold CubeClone1 was picked up","Gold"
"sd12","solo",1,"e","grab",408.1201,638265792385684544,638265792389765745,"Regular Gold CubeClone1 was picked up","Gold"
"sd12","solo",1,"e","grab",370.0107,638265792408783998,638265792412484105,"Regular Blue CubeClone9 was picked up","Blue"
"sd12","solo",1,"e","grab",224.0651,638265792435617610,638265792437858261,"Regular Red CubeClone11 was picked up","Red"
"sd12","solo",1,"e","grab",774.6664,638265792435617610,638265792443364274,"Regular Gold CubeClone14 was picked up","Gold"
"sd12","solo",1,"e","grab",242.5619,638265792445251989,638265792447677608,"Regular Red CubeClone13 was picked up","Red"
"sd12","solo",1,"e","grab",393.4179,638265792469552701,638265792473486880,"Regular Blue CubeClone19 was picked up","Blue"
"sd12","solo",1,"e","grab",328.002,638265792483130417,638265792486410437,"Regular Blue CubeClone18 was picked up","Blue"
"sd12","solo",1,"e","grab",480.7143,638265792524102136,638265792528909279,"Regular Red CubeClone25 was picked up","Red"
"sd12","solo",1,"e","grab",444.9226,638265792542468157,638265792546917383,"Regular Red CubeClone29 was picked up","Red"
"sd12","solo",1,"e","grab",119.2761,638265792593265230,638265792594457991,"Regular Blue CubeClone32 was picked up","Blue"
"sd12","solo",1,"e","grab",350.9902,638265792617566721,638265792621076623,"Regular Red CubeClone36 was picked up","Red"
"sd12","solo",1,"e","grab",200.7639,638265792655340543,638265792657348182,"Regular Blue CubeClone43 was picked up","Blue"
"sd12","solo",1,"e","grab",312.6376,638265792687980327,638265792691106703,"Regular Blue CubeClone47 was picked up","Blue"
"sd12","solo",1,"e","grab",845.2085,638265792747191058,638265792755643143,"Regular Blue CubeClone57 was picked up","Blue"
"sd12","solo",1,"e","grab",377.8569,638265792760535349,638265792764313918,"Regular Neutral CubeClone61 was picked up","White"
"sd12","solo",1,"e","grab",564.0804,638265792780442789,638265792786083593,"Regular Gold CubeClone21 was picked up","Gold"
"sd12","solo",1,"e","grab",564.0804,638265792780442789,638265792786083593,"Regular Gold CubeClone21 was picked up","Gold"
"sd12","solo",1,"e","grab",46.3823,638265792790602475,638265792791066298,"Regular Neutral CubeClone64 was picked up","White"
"sd12","solo",1,"e","grab",212.9409,638265792834735852,638265792836865261,"Regular Neutral CubeClone71 was picked up","White"
"sd12","solo",1,"e","grab",466.3952,638265792862641131,638265792867305083,"Regular Red CubeClone73 was picked up","Red"
"sd12","solo",1,"e","grab",274.3997,638265792899330931,638265792902074928,"Regular Red CubeClone77 was picked up","Red"
"sd12","solo",1,"e","grab",512.8942,638265792929828994,638265792934957936,"Regular Red CubeClone82 was picked up","Red"
