,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgSoloGameTime,avgCoGameTime,avgCombinedGameTime,group,condition
38,P29,26,m,2203.12493,911.9166667,4837.574498,2116.119792,19150.25,135452.0859,69831.95313,20112.57813,33,49,17,69492.84375,49392.33594,21671.3125,110370.0248,22516.64844,218828.5078,179304.4063,312108.0547,c,co
19,P20,25,m,2039.343979,825.9048295,2295.582894,1813.467849,18169.90625,176759.8828,141450.4922,81685.23438,78,99,21,192209.7188,155397.0391,21834.25,118974.4025,10482.53125,377309.2656,175214.2578,456151.875,c,s
20,P20,25,m,3324.099259,1039.269531,1818.240287,2633.062711,2078.539063,67274.89063,97423.32031,92502.99219,37,39,2,177202.4063,57018.78906,2843.429688,91207.50781,14723.58413,377309.2656,175214.2578,456151.875,c,co
11,P16,18,m,1537.429525,692.4375,1253.686153,1423.806977,7616.8125,72713.79688,82580.80469,58478.4375,58,69,12,130455.7969,50748.78906,7876.867188,58566.57682,6545.68967,181133.3359,172713.6563,245650.5625,e,s
12,P16,18,m,1868.050013,723.3965993,1443.220947,1415.685045,12297.74219,46183.07031,49548.97656,110532.0625,35,49,15,150048.6719,49416.10156,16939.67969,67532.73073,7752.749349,181133.3359,172713.6563,245650.5625,e,co
35,P28,20,m,1825.881601,544.5073785,1370.889436,1659.658078,9801.132813,63060.91406,78003.92969,84672.75,47,64,18,146727.6406,42674.96875,9885.9375,59079.82639,8536.151042,179351.3594,170112.0469,275152.6016,c,s
36,P28,20,m,3558.518612,958.4453125,4112.540283,3362.355469,1916.890625,131601.2891,107595.375,865.7109375,32,34,2,97364.98438,44484.25781,2204.929688,70392.78516,14318.40513,179351.3594,170112.0469,275152.6016,c,co
27,P24,27,f,1712.360343,659.903125,1142.4725,1899.509191,6599.03125,57123.625,96874.96875,46597.97656,51,60,10,126961.9844,37737.90625,9410.984375,64461.53906,9197.726074,175542.6328,148619.0625,240590.8672,c,s
28,P24,27,f,3068.586719,628.7984375,1434.443304,1992.805804,3143.992188,50205.51563,69748.20313,122389.2266,35,40,5,179048.1641,39971,4575.976563,46429.95781,6071.329928,175542.6328,148619.0625,240590.8672,c,co
47,P6,23,m,2326.681179,410.9677734,925.2494905,1618.219638,3287.742188,42561.47656,71201.66406,138884.0469,44,54,10,193528.4453,24515.02344,4685.023438,51441.57969,15433.52121,137811.5703,148095.6641,204217.7656,e,s
48,P6,23,m,2890.932684,425.7734375,1805.866943,2388.837595,1703.09375,57787.74219,78831.64063,72715.60938,33,36,4,142906.0938,50772.65625,1817.117188,60567.42969,12558.7433,137811.5703,148095.6641,204217.7656,e,co
33,P27,27,f,1278.296915,569.4177083,1243.5073,1354.719176,17082.53125,75853.94531,74509.55469,81821.86719,55,91,37,141792.4844,60344.59375,23140.84375,63675.18349,4479.284213,211030.0078,142057.4688,281564.9063,c,s
34,P27,27,f,2554.721103,640.7170139,1811.266129,1729.678223,5766.453125,56149.25,55349.70313,94776.44531,32,40,9,143561.8906,50400.47656,7246.4375,61083.88194,14552.88216,211030.0078,142057.4688,281564.9063,c,co
51,P8,18,m,2954.620477,706.5340909,896.3217593,4118.744792,7771.875,24200.6875,111206.1094,81372.48438,27,38,11,181529.2422,12612.38281,7302.75,52021.40199,26833.06027,185189.9141,138236.4141,252525.2578,e,s
52,P8,18,m,3088.990555,658.7724609,1104.414063,6020.878906,5270.179688,27610.35156,156542.8516,17538.98438,26,33,8,168966.6016,19511.88281,3727.84375,107146.1055,21235.71289,185189.9141,138236.4141,252525.2578,e,co
53,P9,25,f,1789.926887,694.15625,2109.069688,1629.566964,1388.3125,105453.4844,79848.78125,3041.671875,49,52,4,73249.98438,48289.82031,2720.632813,88031.38086,5512.306743,151772.9531,132071.5391,213352.7813,c,s
54,P9,25,f,2444.990132,1173.879688,1377.818115,1756.808364,5869.398438,44090.17969,59731.48438,76128.1875,34,37,4,128076.8359,40414.03906,4019.007813,41811.7207,5677.164621,151772.9531,132071.5391,213352.7813,c,co
