"","Participant","Age","Gender","avgTotalTransferTime","avgView2Play","avgBuild2Play","avgPlay2Build","avgPlay2View","totalView2Play","totalBuild2Play","totalPlay2Build","totalPlay2View","totalBuildWallCount","totalPlayWallCount","totalViewWallCount","totalPlayWallGazeTime","totalBuildWallGazeTime","totalViewWallGazeTime","avgTimeBetweenViewWallChecks","avgGrab2Build","avgGameTime","group","condition"
"21","P21",NA,"m",4216.54835304054,1099.71701388889,1932.70652173913,1601.77291666667,13744.0165441176,9897.453125,44452.25,24026.59375,233648.28125,15,32,17,250124.3671875,38067.03125,18906.078125,119548.891544118,6074.37109375,188390.84375,"c","s"
"22","P21",NA,"m",5270.03348214286,1066.58203125,15605.5424107143,2390.318359375,2344.0984375,12798.984375,218477.59375,28683.8203125,35161.4765625,12,26,15,55609.6171875,31304.1015625,15084,141884.311458333,50878.0140625,164062.1953125,"c","co"
"23","P22",NA,"f",2994.97858455882,749.262335526316,1888.09341032609,1622.26740056818,8061.058203125,14235.984375,43426.1484375,35689.8828125,161221.1640625,22,42,20,190200.875,38764.640625,17427.5703125,136125.905078125,5662.4375,131663.34765625,"c","s"
"24","P22",NA,"f",2113.68347772277,630.560801630435,1524.509765625,1508.89453125,4969.046875,14502.8984375,36588.234375,33195.6796875,129195.21875,22,47,26,151830.171875,33305.3125,18299.078125,94291.2361778846,7417.05539772727,168801.29296875,"c","co"
"25","P23",NA,"m",2179.02230992268,600.69453125,1185.072265625,1650.18142361111,5791.15959821429,12013.890625,33182.0234375,44554.8984375,121614.3515625,27,48,21,155085.7734375,20737.3515625,12655.6953125,54155.837797619,6408.05078125,96804.47265625,"c","s"
"26","P23",NA,"m",2214.29481907895,5395.22036637931,1143.736328125,1487.79268973214,768.462284482759,156461.390625,32024.6171875,41658.1953125,22285.40625,28,57,29,58709.1171875,26976.3203125,15390.03125,128922.46012931,23747.7170138889,110295.234375,"c","co"
"27","P24",NA,"f",2416.52729301948,737.6015625,1142.80800189394,2031.17532169118,15122.39375,3688.0078125,37712.6640625,69059.9609375,75611.96875,34,38,5,133825.9609375,22933.9375,6879.984375,61069.1734375,6977.99392361111,87771.31640625,"c","s"
"28","P24",NA,"f",3275.75256849315,628.7984375,5302.91154233871,1994.91625976562,1551.6734375,3143.9921875,164390.2578125,63837.3203125,7758.3671875,32,36,5,59044.4375,32955.0390625,4575.9765625,46429.9578125,17817.2414772727,74309.53125,"c","co"
"29","P25",NA,"m",4016.52678571429,1026.13722826087,16908.7222222222,1125.86057692308,818.199776785714,23601.15625,304357,14636.1875,22909.59375,13,41,28,37170.7265625,34639.4453125,33410.1875,184954.378348214,35259.0640625,260480.35546875,"c","s"
"30","P25",NA,"m",3477.42782738095,9489.11257102273,1662.59604779412,1549.07864583333,1326.7978515625,208760.4765625,28264.1328125,23236.1796875,31843.1484375,15,39,24,55333.3515625,27618.1640625,23225.1328125,157521.866210938,8112.21875,140358.91796875,"c","co"
"31","P26",NA,"f",3358.74285239362,684.593359375,10435.2836277174,1877.20200892857,1027.14524147727,13691.8671875,240011.5234375,39421.2421875,22597.1953125,21,43,22,51589.46875,26902.4765625,17130.375,145285.605113636,26333.2755681818,202451.859375,"c","s"
"32","P26",NA,"f",2562.22094452247,5907.74181547619,1709.67791193182,1890.09114583333,1159.57642663043,124062.578125,37612.9140625,39691.9140625,26670.2578125,21,43,23,58008.328125,35536.2734375,11568.34375,96795.3138586956,15573.5442708333,106146.4453125,"c","co"
"33","P27",NA,"f",1817.63005118534,646.379755434783,1367.13331653226,1122.03414351852,4566.75173611111,14866.734375,42381.1328125,30294.921875,123302.296875,27,54,27,148518.40625,35693.609375,19103.859375,53359.7349537037,11319.8686523438,105515.00390625,"c","s"
"34","P27",NA,"f",2840.9140625,640.717013888889,1829.06039663462,1760.15745192308,11717.7439236111,5766.453125,47555.5703125,45764.09375,105459.6953125,26,35,9,145936.34375,41253.015625,7246.4375,61083.8819444444,17234.59921875,71028.734375,"c","co"
"35","P28",NA,"m",2277.35199652778,523.184709821429,1315.52217741935,1573.421875,7719.98772321429,7324.5859375,40781.1875,48776.078125,108079.828125,31,45,14,148952.2265625,27855.15625,7754.2109375,34119.2589285714,11416.7692708333,89675.6796875,"c","s"
"36","P28",NA,"m",3835.296875,958.4453125,1768.804375,2759.78875,45987.15625,1916.890625,44220.109375,68994.71875,91974.3125,25,27,2,152333.6875,37029.875,2204.9296875,70392.78515625,6902.30752840909,85056.0234375,"c","co"
"37","P29",NA,"m",3097.45998733108,15662.26953125,1090.00139508929,2229.57632211538,1542.4859375,125298.15625,30520.0390625,57968.984375,15424.859375,26,36,10,50840.3203125,22613.5078125,11358.1171875,45317.5859375,18490.8245738636,109414.25390625,"c","s"
"38","P29",NA,"m",2883.41183035714,1012.97314453125,1507.41282894737,2195.10703125,8884.81041666667,16207.5703125,28640.84375,43902.140625,133272.15625,20,35,15,160971.234375,26602.4609375,18039.6640625,104595.430208333,33080.9869791667,89652.203125,"c","co"
"39","P3","0","m",2780.28377278646,440.491536458333,7765.103515625,1959.52766927083,956.012369791667,10571.796875,186362.484375,47028.6640625,22944.296875,24,48,24,60234.890625,31430.7578125,10335.9609375,95355.9147135417,20660.9389204545,143099.328125,"e","s"
"40","P3","0","m",3934.14013671875,633.668817934783,2853.13373161765,1655.17784926471,9718.06657608696,14574.3828125,48503.2734375,28138.0234375,223515.53125,17,40,23,245988.046875,44935.015625,15408.578125,133701.787703804,38211.4553571429,150967.03125,"e","co"
"41","P30","18","f",2139.41559579439,661.410300925926,6239.7859375,1298.553125,807.175502232143,17858.078125,155994.6484375,32463.828125,22600.9140625,25,52,28,46286.265625,20108.3125,19547.3125,97415.24609375,15362.4074519231,124843.890625,"c","s"
"42","P30","18","f",2126.53390957447,711.538461538462,1234.35825892857,1328.25945723684,6312.55646306818,18500,17281.015625,25236.9296875,138876.2421875,19,40,22,158863.203125,21475.96875,21141.0390625,99923.8625710227,5868.9912109375,97388.08984375,"c","co"
"43","P4",NA,"m",1727.08357007576,305.0625,1301.4421875,2162.18701171875,2572.0703125,305.0625,19521.6328125,34594.9921875,2572.0703125,16,16,1,30848.59375,12671.109375,593.140625,0,7543.7890625,81668.7265625,"e","s"
"44","P4",NA,"m",7528.27903645833,664.986328125,1902.57942708333,2768.88107638889,29969.2180989583,7979.8359375,34246.4296875,49839.859375,359630.6171875,18,30,12,405496.640625,27505.9609375,6954.5859375,205116.279296875,69997.8802083333,227649.08984375,"e","co"
"45","P5",NA,"m",2610.15247182377,7254.19102822581,1260.6947737069,1051.33251953125,834.138950892857,224879.921875,36560.1484375,33642.640625,23355.890625,32,60,28,50959.640625,33049.375,19530.765625,132802.23046875,18217.109375,132514.07421875,"c","s"
"46","P5",NA,"m",2494.28678385417,628.860394021739,2082.2292798913,1232.17323369565,6198.18684895833,14463.7890625,47891.2734375,28339.984375,148756.484375,23,46,24,171151.6484375,46181.2421875,16649.28125,107585.421223958,6171.078125,105865.25,"c","co"
"47","P6",NA,"m",2360.21391129032,2935.7484375,3696.04672181373,1557.49934895833,1042.18191964286,73393.7109375,188498.3828125,74759.96875,29181.09375,48,76,28,86053.4296875,32692.9609375,20729.578125,76241.7335379464,16075.1479492188,225530.45703125,"e","s"
"48","P6",NA,"m",1738.46875,422.44921875,1695.58035714286,1957.24583333333,1713.87890625,844.8984375,23738.125,29358.6875,3427.7578125,15,16,2,28601.3203125,22086.765625,1157.96875,12799.75390625,6820.91015625,NA,"e","co"
"49","P7","26","f",1972.07102272727,434.4296875,952.01617005814,1486.80522017045,14378.7213541667,2606.578125,40936.6953125,65419.4296875,86272.328125,44,49,6,139750.21875,25407.234375,2967.6484375,73673.109375,13062.0716145833,74811.390625,"e","s"
"50","P7","26","f",4132.31147540984,539.963169642857,2358.71569293478,2063.97884114583,20643.6149553571,3779.7421875,54250.4609375,49535.4921875,144505.3046875,24,30,7,188900.8828125,51241.125,3591.6875,66576.3560267857,8984.5546875,119354.74609375,"e","co"
"51","P8","18","m",4475.10784646739,692.4208984375,987.235416666667,4556.80416666667,14644.375,5539.3671875,14808.53125,68352.0625,117155,15,23,8,177016.5625,8197.3828125,5203.2734375,47428.005859375,43838.62890625,92594.95703125,"e","s"
"52","P8","18","m",3340.34817708333,658.7724609375,5368.11079545455,2705.14950284091,2192.373046875,5270.1796875,118098.4375,59513.2890625,17538.984375,22,30,8,75973.7734375,17723.6640625,3727.84375,107146.10546875,10491.1696428571,69118.20703125,"e","co"
"53","P9",NA,"f",1857.30486111111,694.15625,2438.36997767857,1440.87983630952,946.877604166667,1388.3125,102411.5390625,60516.953125,2840.6328125,42,44,3,55173.3984375,42096.4375,2206.5078125,54408.484375,8258.92604166667,75886.4765625,"c","s"
"54","P9",NA,"f",2444.99013157895,1173.8796875,1377.81811523438,1756.80836397059,19032.046875,5869.3984375,44090.1796875,59731.484375,76128.1875,34,37,4,128076.8359375,40414.0390625,4019.0078125,41811.720703125,5677.16462053571,66035.76953125,"c","co"
