Time,Participant,Age,Sex,Handedness,Task,Group,Condition,Trial,Event,CurrentGazeTarget,CurrentGazeArea,EyePos_X,EyePos_Y,EyePos_Z,LookingAtObj,HeadPos_X,HeadPos_Y,HeadPos_Z,HeadRot_X,HeadRot_Y,HeadRot_Z,HandPos_X,HandPos_Y,HandPos_Z,HandRot_X,HandRot_Y,HandRot_Z,RayCast_StartPos_X,RayCast_StartPos_Y,RayCast_StartPos_Z,RayCast_EndPos_X,RayCast_EndPos_Y,RayCast_EndPos_Z,Partner_HeadPos_X,Partner_HeadPos_Y,Partner_HeadPos_Z,Partner_HeadRot_X,Partner_HeadRot_Y,Partner_HeadRot_Z,Partner_HandPos_X,Partner_HandPos_Y,Partner_HandPos_Z,Partner_HandRot_X,Partner_HandRot_Y,Partner_HandRot_Z,Partner_RayCast_StartPos_X,Partner_RayCast_StartPos_Y,Partner_RayCast_StartPos_Z,Partner_RayCast_EndPos_X,Partner_RayCast_EndPos_Y,Partner_RayCast_EndPos_Z,RightPupil,LeftPupil,,
6.38255E+17,,,,Right,Loom,,comp,1,Drop Hit Boxwas placed in dropzone,,none,0,0,0,5.082401,-5.63905,-23.81954,-10.06594,8.54137,-0.4386597,0.07228843,0.9855937,-0.1056749,-10.48061,8.392045,-0.8261517,0.7547688,0.6475079,0.01004326,-10.48061,8.392045,-0.8261517,6.91111,,-10.60361,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44was placed in dropzone,,none,0,0,0,5.069905,-5.610418,-23.82896,-10.06581,8.541383,-0.4389207,0.07283614,0.985607,-0.1054703,-10.48056,8.39208,-0.8270686,0.7531924,0.6496735,0.01054043,-10.48056,8.39208,-0.8270686,6.954381,,-10.60714,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Drop Hit Boxwas placed in dropzone,,none,0,0,0,5.050491,-5.595184,-23.83667,-10.06576,8.541433,-0.438966,0.07317055,0.9856019,-0.1060184,-10.4806,8.392564,-0.8273946,0.7540377,0.648894,0.011962,-10.4806,8.392564,-0.8273946,7.004611,,-10.61887,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44was placed in dropzone,,none,0,0,0,5.03832,-5.594077,-23.8395,-10.06522,8.541784,-0.4395281,0.07586028,0.985673,-0.1047466,-10.48091,8.392653,-0.8288072,0.7537318,0.6493989,0.01153365,-10.48091,8.392653,-0.8288072,7.037172,,-10.62419,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44 was dropped in DropzonePlaceHolder(Clone)2 by P2,,none,0,0,0,4.698759,-5.685305,-23.88722,-10.06654,8.540936,-0.4404244,0.07523514,0.9859572,-0.1074165,-10.48362,8.393078,-0.8273811,0.747211,0.6579121,0.01254395,-10.48337,8.392918,-0.8278372,7.161281,,-10.63577,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44 was dropped in DropzonePlaceHolder(Clone)2,,none,0,0,0,4.698759,-5.685305,-23.88722,-10.06654,8.540936,-0.4404244,0.07523514,0.9859572,-0.1074165,-10.48362,8.393078,-0.8273811,0.747211,0.6579121,0.01254395,-10.48337,8.392918,-0.8278372,7.161281,,-10.63577,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Red Cube(Clone)25 was picked up,,none,0,0,0,13.04411,-0.3669223,-21.32409,-10.17644,8.544128,-0.1682905,-0.1194844,0.955372,-0.04033352,-10.43463,8.089363,-0.3149221,0.5822949,0.6283122,0.3753217,-10.4355,8.088396,-0.3150944,8.671085,,-5.085039,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Red Cube(Clone)25 was picked up by P2,,none,0,0,0,13.04411,-0.3669223,-21.32409,-10.17644,8.544128,-0.1682905,-0.1194844,0.955372,-0.04033352,-10.43463,8.089363,-0.3149221,0.5822949,0.6283122,0.3753217,-10.4355,8.088396,-0.3150944,8.671085,,-5.085039,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Red Cube(Clone)25 was picked up by P2,,none,0,0,0,13.04411,-0.3669223,-21.32409,-10.17644,8.544128,-0.1682905,-0.1194844,0.955372,-0.04033352,-10.43463,8.089363,-0.3149221,0.5822949,0.6283122,0.3753217,-10.4355,8.088396,-0.3150944,8.671085,,-5.085039,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Red Cube(Clone)25was placed in dropzone,,none,0,0,0,1.125664,-3.851442,-24.67589,-10.06756,8.551249,-0.4075158,0.1425124,0.9864412,-0.07365667,-10.43179,8.364336,-0.8025069,0.7369654,0.6683933,0.0146493,-10.43179,8.364336,-0.8025069,7.090788,,-10.5977,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
