"TimeEpoch","MeanPercentChange","Meanpupil","condition","group","Participant"
0.6,22.351473393547,4.00824497092545,"co","c","nuP19"
0.7,20.4886548276165,3.95593456375228,"co","c","nuP19"
0.8,20.1121656833983,3.95521431677096,"co","c","nuP19"
0.9,21.7111486425893,4.00256263311124,"co","c","nuP19"
1,20.5112293334708,3.92057478706897,"co","c","nuP19"
-1,14.5036691083676,4.00934067110585,"comp","c","nuP19"
-0.9,14.5458524875675,4.00997048559681,"comp","c","nuP19"
-0.8,14.8209445885872,4.0215227814547,"comp","c","nuP19"
-0.7,15.0695862642005,4.03316102548527,"comp","c","nuP19"
-0.6,15.6033328078275,4.03761707888577,"comp","c","nuP19"
-0.5,15.3950788639101,4.01701310910218,"comp","c","nuP19"
-0.4,15.7330887788317,4.00393572507644,"comp","c","nuP19"
-0.3,14.3064446172435,3.9891013848785,"comp","c","nuP19"
-0.2,13.4976765910155,3.96271480689096,"comp","c","nuP19"
-0.1,12.614158774103,3.93987890886199,"comp","c","nuP19"
0,5.35470242698173,3.65334629248177,"comp","c","nuP19"
0.1,11.5731661421547,3.85623503318123,"comp","c","nuP19"
0.2,13.3986081573316,3.90412143959922,"comp","c","nuP19"
0.3,16.3807897798041,3.93348916283049,"comp","c","nuP19"
0.4,16.2386484933569,3.98179536517006,"comp","c","nuP19"
0.5,16.9412363099426,4.03076319228968,"comp","c","nuP19"
0.6,16.360743434225,4.01100804875102,"comp","c","nuP19"
0.7,16.1858715409125,3.99219780906075,"comp","c","nuP19"
0.8,15.2927387812203,3.97941398371426,"comp","c","nuP19"
0.9,14.0729701784424,3.94332333607418,"comp","c","nuP19"
1,16.7610843092703,4.01457464400406,"comp","c","nuP19"
-1,15.8591935465049,3.74604989408163,NA,NA,NA
-0.9,16.6036765885113,3.76523952611676,NA,NA,NA
-0.8,17.6143801780108,3.79930278249446,NA,NA,NA
-0.7,16.1202767604007,3.78079016964337,NA,NA,NA
-0.6,17.176802261455,3.80344810889873,NA,NA,NA
-0.5,15.1767696717792,3.79659771866246,NA,NA,NA
-0.4,15.0817946097238,3.77602057983777,NA,NA,NA
-0.3,15.0319467333574,3.73660875277219,NA,NA,NA
-0.2,15.0812367032929,3.69744705434899,NA,NA,NA
-0.1,13.1717506962418,3.63626690241106,NA,NA,NA
0,10.9784992711547,3.56685840804376,NA,NA,NA
0.1,9.62537705075089,3.52592142900043,NA,NA,NA
0.2,9.53212259983148,3.50972582888671,NA,NA,NA
0.3,10.6687781925862,3.56001012571777,NA,NA,NA
0.4,14.1988505881338,3.66065401240419,NA,NA,NA
0.5,12.5233173135931,3.60289159789737,NA,NA,NA
0.6,11.4773327308127,3.56880935597667,NA,NA,NA
0.7,11.280114157739,3.56175400097098,NA,NA,NA
0.8,11.6401688266745,3.57333508176774,NA,NA,NA
