"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"sdP12","comp",1,"e",637.522828865979,372.64526969697,2068.31300666667,93.83495,97,33,90,4,618397144,122972939,1861481706,3753398
"sdP13","comp",1,"e",556.378331674208,230.231411965812,719.858742105263,34.1559,221,117,133,4,1229596113,269370752,957412127,1366236
"sdP13","solo",1,"e",770.773236931818,304.126408108108,641.0341425,NA,176,74,160,0,1356560897,225053542,1025654628,0
"sdP13","solo",2,"e",589.216105882353,251.336321052632,574.67555862069,NA,204,114,174,0,1202000856,286523406,999935472,0
"sdP13","co",1,"e",932.1448921875,290.383429457364,770.6681352,199.053,128,129,125,1,1193145462,374594624,963335169,1990530
"sdP13","co",2,"e",743.303025,269.782529545455,758.825514285714,188.0833,168,132,119,3,1248749082,356112939,903002362,5642499
"sdP13","comp",1,"e",560.246239336493,226.769048550725,657.492128767123,NA,211,138,146,0,1182119565,312941287,959938508,0
"sdP14","comp",2,"e",1449.95325083333,268.224816666667,830.401545192308,NA,120,24,104,0,1739943901,64373956,863617607,0
"sdP14","solo",1,"e",729.558466197183,408.448996153846,1316.45778125,NA,142,26,112,0,1035973022,106196739,1474432715,0
"sdP14","solo",2,"e",842.32894589372,335.587735849057,2184.40966899225,723.313475,207,53,129,8,1743620918,177861500,2817888473,57865078
"sdP14","co",1,"e",1040.58576666667,291.970334782609,1426.40238256881,133.36444,99,23,109,5,1030179909,67153177,1554778597,6668222
"sdP14","comp",1,"e",1127.26329008264,260.741913636364,1282.72040714286,417.1404,121,22,98,2,1363988581,57363221,1257065999,8342808
"sdP15","comp",2,"e",750.398645017182,273.024047272727,1049.31594268293,120.127153488372,291,110,164,43,2183660057,300326452,1720878146,51654676
"sdP15","solo",1,"e",752.360545762712,354.294022580645,759.636727777778,NA,177,31,144,0,1331678166,109831147,1093876888,0
"sdP15","solo",2,"e",630.028964761905,381.629957446809,690.104310204082,NA,210,47,147,0,1323060826,179366080,1014453336,0
"sdP15","co",1,"e",817.146864606742,261.529522972973,944.263012631579,102.80395,178,74,95,10,1454521419,193531847,897049862,10280395
"sdP15","co",2,"e",933.218000719424,347.57548,1300.26912258065,56.8481,139,40,93,3,1297173021,139030192,1209250284,1705443
"sdP15","comp",1,"e",624.722273493976,132.735094827586,697.780541860465,NA,249,58,129,0,1555558461,76986355,900136899,0
"sdP2","comp",2,"e",693.936029411765,195.388876363636,679.361940697674,NA,170,55,172,0,1179691250,107463882,1168502538,0
"sdP2","solo",1,"e",848.262142222222,490.557507142857,956.920416216216,NA,45,14,37,0,381717964,68678051,354060554,0
"sdP2","co",1,"e",1177.52203333333,265.965774,1531.22791764706,147.4423,111,100,68,3,1307049457,265965774,1041234984,4423269
"sdP2","co",2,"e",1180.07973130435,254.69615,1573.27065810811,157.3211,115,52,74,2,1357091691,132441998,1164220287,3146422
"sdP2","comp",1,"e",922.9854640625,231.246628947368,1149.93062051282,NA,128,38,117,0,1181421394,87873719,1345418826,0
"sdP2","solo",2,"e",825.36152,377.094225,1062.61681530612,NA,150,48,98,0,1238042280,181005228,1041364479,0
"sdP3","comp",2,"c",720.436912571428,497.945205333333,1158.98626202532,29.4779,175,75,79,1,1260764597,373458904,915599147,294779
"sdP3","solo",1,"c",940.9533488,905.7975375,1746.84601351351,NA,125,16,74,0,1176191686,144927606,1292666050,0
"sdP3","solo",2,"c",801.074236363636,656.762903125,1276.83532135922,NA,143,32,103,0,1145536158,210164129,1315140381,0
"sdP3","co",1,"c",758.538164341085,646.92344,1684.13865070423,224.355371428571,129,60,71,7,978514232,388154064,1195738442,15704876
"sdP3","co",2,"c",990.083017829457,621.311891803279,1878.33179215686,111.4713,129,61,51,3,1277207093,379000254,957949214,3344139
"sdP3","comp",1,"c",715.654567741935,824.170696,1468.97187142857,28.034,155,50,77,1,1109264580,412085348,1131108341,280340
"sdP4","comp",2,"e",1006.59954238411,447.031931818182,1408.24539189189,26.8917,151,22,74,1,1519965309,98347025,1042101590,268917
"sdP4","solo",1,"e",934.385968253968,381.953556410256,886.446947407407,NA,126,39,135,0,1177326320,148961887,1196703379,0
"sdP4","solo",2,"e",909.041486046512,1161.36473636364,911.151300714286,NA,129,11,140,0,1172663517,127750121,1275611821,0
"sdP4","co",1,"e",968.423392741935,645.551735483871,785.940162773723,166.87054,124,31,137,5,1200845007,200121038,1076738023,8343527
"sdP4","co",2,"e",916.608060305344,587.787094871795,824.873294814815,188.94895,131,39,135,2,1200756559,229236967,1113578948,3778979
"sdP4","comp",1,"e",970.475340875912,393.174845454545,668.108388888889,NA,137,33,162,0,1329551217,129747699,1082335590,0
"sdP4","comp",2,"e",1106.50297590361,341.187925,833.195186486486,NA,83,16,74,0,918397470,54590068,616564438,0
"sdP5","comp",2,"e",790.204341935484,318.018413114754,877.078232110092,293.7135,155,61,109,2,1224816730,193991232,956015273,5874270
"sdP5","solo",1,"e",804.623015469613,350.574513636364,718.978971969697,NA,181,66,132,0,1456367658,231379179,949052243,0
"sdP5","solo",2,"e",884.688697311828,443.874547368421,670.2923828125,NA,186,38,128,0,1645520977,168672328,857974250,0
"sdP5","co",1,"e",1008.70989577465,377.608091,971.213193181818,40.3992,142,100,88,1,1432368052,377608091,854667610,403992
"sdP5","co",2,"e",1074.68585149254,408.254271875,1068.59934193548,NA,134,64,93,0,1440079041,261282734,993797388,0
"sdP5","comp",1,"e",790.633804347826,330.283572972973,838.956841085271,NA,161,74,129,0,1272920425,244409844,1082254325,0
"sdP7","co",2,"e",730.93439695122,317.8024325,1043.86168636364,88.55042,164,80,110,5,1198732411,254241946,1148247855,4427521
"sdP7","solo",1,"e",603.842559183673,445.172640659341,789.064379032258,NA,196,91,124,0,1183531416,405107103,978439830,0
"sdP7","solo",2,"e",568.920501980198,349.274585,678.946637226277,NA,202,140,137,0,1149219414,488984419,930156893,0
"sdP7","co",1,"e",761.330787096774,423.933568674699,1073.73016960784,46.1797,155,83,102,2,1180062720,351864862,1095204773,923594
"sdP7","comp",1,"e",680.868240306122,310.06597260274,750.601321428572,277.001,196,73,140,1,1334501751,226348160,1050841850,2770010
"sdP7","comp",2,"e",778.696848888889,251.739066197183,608.164443046358,179.043133333333,180,71,151,3,1401654328,178734737,918328309,5371294
