"","Participant","Condition","Trial","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"87","sdP3","solo",1,940.9533488,905.7975375,1746.84601351351,NA,125,16,74,0,1176191686,7.16037512586157e-316,6.38661886850303e-315,0
"88","sdP3","solo",2,801.074236363636,656.762903125,1276.83532135922,NA,143,32,103,0,1145536158,1.03834876127048e-315,6.49765681710668e-315,0
"89","sdP3","co",1,758.538164341085,646.92344,1684.13865070423,224.355371428571,129,60,71,7,978514232,1.91773588316065e-315,5.90773285603936e-315,15704876
"90","sdP3","co",2,990.083017829457,621.311891803279,1878.33179215686,111.4713,129,61,51,3,1277207093,1.87251005266506e-315,4.73289797098024e-315,3344139
"91","sdP3","comp",1,715.654567741935,824.170696,1468.97187142857,28.034,155,50,77,1,1109264580,2.03597213601335e-315,5.58841773012586e-315,280340
"92","sdP4","comp",2,1006.59954238411,447.031931818182,1408.24539189189,26.8917,151,22,74,1,1519965309,4.85898864231902e-316,5.1486659509554e-315,268917
"93","sdP4","solo",1,934.385968253968,381.953556410256,886.446947407407,NA,126,39,135,0,1177326320,7.35969509063858e-316,5.91250027826037e-315,0
"94","sdP4","solo",2,909.041486046512,1161.36473636364,911.151300714286,NA,129,11,140,0,1172663517,6.31169460381624e-316,6.30235978185094e-315,0
"95","sdP4","co",1,968.423392741935,645.551735483871,785.940162773723,166.87054,124,31,137,5,1200845007,9.88729298858906e-316,5.31979266735322e-315,8343527
"96","sdP4","co",2,916.608060305344,587.787094871795,824.873294814815,188.94895,131,39,135,2,1200756559,1.13258110151544e-315,5.50181102138836e-315,3778979
"97","sdP4","comp",1,970.475340875912,393.174845454545,668.108388888889,NA,137,33,162,0,1329551217,6.41038807028507e-316,5.34744832290317e-315,0
"98","sdP4","comp",2,1106.50297590361,341.187925,833.195186486486,NA,83,16,74,0,918397470,2.69710772029376e-316,3.04623307263215e-315,0
"99","sdP5","comp",2,790.204341935484,318.018413114754,877.078232110092,293.7135,155,61,109,2,1224816730,9.58444033256191e-316,4.72334303288841e-315,5874270
"100","sdP5","solo",1,804.623015469613,350.574513636364,718.978971969697,NA,181,66,132,0,1456367658,1.14316503506852e-315,4.68894109374879e-315,0
"101","sdP5","solo",2,884.688697311828,443.874547368421,670.2923828125,NA,186,38,128,0,1645520977,8.33352026688666e-316,4.23895601941409e-315,0
"102","sdP5","co",1,1008.70989577465,377.608091,971.213193181818,40.3992,142,100,88,1,1432368052,1.86563185354795e-315,4.22261904714245e-315,403992
