"","TimeEpoch","condition","Participant","MeanPercent","MeanPupilSize"
"1996",0.9,"solo","sd10",6.95263554612239,3.46819854186258
"1997",0.9,"solo","sd12",5.00384217042457,3.57171282821443
"1998",0.9,"solo","sdP1",10.7589798649871,4.28608774599052
"1999",0.9,"solo","sdP11",5.63574329454812,3.83783850641347
"2000",0.9,"solo","sdP12",5.21665520142085,3.67282359965344
"2001",0.9,"solo","sdP13",5.39469405134966,4.00188288342302
"2002",0.9,"solo","sdP14",7.66173746206605,4.00898266819419
"2003",0.9,"solo","sdP15",10.6690400015594,5.37308075311762
"2004",0.9,"solo","sdP2",5.3340868368272,5.74020926188899
"2005",0.9,"solo","sdP3",9.63122393787378,3.17350768446398
"2006",0.9,"solo","sdP4",5.76150419135607,5.66441226177856
"2007",0.9,"solo","sdP5",7.64855287881469,4.37305027990181
"2008",0.9,"solo","sdP7",9.93233249949148,4.51478816824169
"2009",0.9,"solo","sdP8",7.21497268282779,4.3129608144938
"2010",0.9,"solo","sdP9",7.30994865177944,3.76898337671459
"2011",1,"co","P2",15.343182012984,3.60411164664376
"2012",1,"co","P3",4.52438845214124,5.70171710580065
"2013",1,"co","P4",9.42246185722717,4.03887486007837
"2014",1,"co","P5",-0.120102012332293,3.14101701655175
"2015",1,"co","P6",12.3563306719446,4.94130905542633
"2016",1,"co","P7",5.73441965494849,3.87562799291249
"2017",1,"co","P9",10.4209086521538,4.38246969676948
"2018",1,"co","sd10",7.54733013713088,3.41188149852699
"2019",1,"co","sd12",6.40605066314768,3.47983169578157
"2020",1,"co","sdP1",11.046852508321,4.22055335546337
"2021",1,"co","sdP11",8.75897839648221,3.88812952812268
"2022",1,"co","sdP12",6.32853090251159,3.45965529832766
"2023",1,"co","sdP13",8.39640291422347,3.94676205727079
"2024",1,"co","sdP14",8.81779859138638,4.04585746868031
"2025",1,"co","sdP15",9.7377415926738,5.33092632574852
"2026",1,"co","sdP2",8.04050179966913,5.83960791199946
"2027",1,"co","sdP3",9.04920236383288,3.17568405964782
"2028",1,"co","sdP4",5.38675732787856,5.54323256758293
"2029",1,"co","sdP5",9.22334645515313,4.41855541149656
"2030",1,"co","sdP7",9.89950520431376,4.40022103943505
"2031",1,"co","sdP8",9.90747915930427,4.28544639966058
"2032",1,"co","sdP9",7.45941248077795,3.81508644335088
"2033",1,"co",NA,16.31712157004,2.48090578571429
"2034",1,"comp","P2",16.5674363733035,3.79327962497536
"2035",1,"comp","P3",14.1296055133744,5.68870024525209
"2036",1,"comp","P4",4.88104731842648,4.03801754872701
"2037",1,"comp","P5",-1.07854360878089,3.14085062872592
"2038",1,"comp","P6",12.7622014909675,5.20052724413319
"2039",1,"comp","P7",7.71984975939472,4.04054227352235
"2040",1,"comp","P9",7.07260049351061,4.38374213011465
"2041",1,"comp","Py",2.57199844674019,3.96995190932403
"2042",1,"comp","sd10",7.46715207790549,3.56144582770568
"2043",1,"comp","sdP1",10.6694943490616,4.29725307789604
"2044",1,"comp","sdP11",8.37264235754864,3.5520511962249
"2045",1,"comp","sdP12",4.11548548434167,3.70622793717278
