"","TimeEpoch","condition","MeanPercent","MeanPupilSize"
"56",-0.2,"comp",3.09987769456304,4.07146683017843
"57",-0.2,"solo",1.62851572174115,4.07839572685029
"58",-0.1,"co",1.46039764383975,3.8945672525412
"59",-0.1,"comp",2.18344425661944,4.03568505136876
"60",-0.1,"solo",0.579427713718087,4.03744052576491
"61",0,"co",0.857515019879844,3.87491597748934
"62",0,"comp",1.17985452215284,3.99590277856683
"63",0,"solo",-0.0256774820241582,4.01291345333883
"64",0.1,"co",1.42216759503006,3.89305263690566
"65",0.1,"comp",1.39657003554813,4.00315599013628
"66",0.1,"solo",-0.235990620240894,4.00257494464179
"67",0.2,"co",2.15593865476846,3.91994594041795
"68",0.2,"comp",1.74794922353649,4.01594023183347
"69",0.2,"solo",-0.045344002357036,4.01060247485608
"70",0.3,"co",2.85160608982665,3.94295600264084
"71",0.3,"comp",2.93108530491943,4.05858807352381
"72",0.3,"solo",0.947858846033203,4.05394813090343
"73",0.4,"co",4.04573443730526,3.99496619296104
"74",0.4,"comp",4.35209588296156,4.10952849937922
"75",0.4,"solo",2.46373354951754,4.12120957897329
"76",0.5,"co",5.60235384532855,4.04808045662493
"77",0.5,"comp",4.75973035769747,4.12779197297154
"78",0.5,"solo",3.4537354741793,4.14859790036024
"79",0.6,"co",6.67640939862032,4.08477465267939
"80",0.6,"comp",5.41374304240363,4.14586621585976
"81",0.6,"solo",4.18883288218332,4.17730100584071
"82",0.7,"co",6.94383574766758,4.10030824286056
"83",0.7,"comp",5.92087324875737,4.16928729514596
"84",0.7,"solo",4.89526103533607,4.20313666171898
"85",0.8,"co",7.7293828431398,4.12178322066314
"86",0.8,"comp",6.53983954108514,4.1967101166207
"87",0.8,"solo",5.6719318301275,4.22960209172412
"88",0.9,"co",8.43216047786773,4.14152679575547
"89",0.9,"comp",7.38937164374226,4.22903928993449
"90",0.9,"solo",6.51150690738181,4.26021765110167
"91",1,"co",8.69585223286581,4.1490201835214
"92",1,"comp",7.95513661070496,4.25239170425741
"93",1,"solo",7.23020687071852,4.2870778162399
"94",1.1,"co",9.23102866768757,4.16846886678308
"95",1.1,"comp",8.46148330797805,4.26934534424201
"96",1.1,"solo",7.66688229685759,4.30376037520047
"97",1.2,"co",9.47600517742072,4.17322905300473
"98",1.2,"comp",8.65780705248522,4.27760330897462
"99",1.2,"solo",7.97003415156827,4.31548827745951
"100",1.3,"co",9.06627703830287,4.16685147079452
"101",1.3,"comp",8.8308237441282,4.28163000874639
"102",1.3,"solo",8.14735194366683,4.32100876074617
"103",1.4,"co",8.99938805439179,4.15926329410663
"104",1.4,"comp",8.84776897261287,4.28143658786414
"105",1.4,"solo",8.17388930225439,4.32157515648961
"106",1.5,"co",9.03202309671545,4.15759421540003
"107",1.5,"comp",8.80164780436274,4.27781736234189
"108",1.5,"solo",8.27360168310209,4.32388000000517
"109",1.6,"co",9.38534507633578,4.16764297744064
"110",1.6,"comp",8.66111391556718,4.27467875419166
"111",1.6,"solo",8.40094935042619,4.32771291403525
"112",1.7,"co",8.9015543931266,4.15938706532737
"113",1.7,"comp",8.70620995098297,4.27289074646743
"114",1.7,"solo",8.45807872096248,4.32705038091715
"115",1.8,"co",9.04474046911437,4.15987480210618
"116",1.8,"comp",8.42241780806307,4.26255615118505
"117",1.8,"solo",8.21555705597158,4.31892838684352
