"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC"
"sdP4","solo",2,"e",63,55,297.361761904762,623.104889090909,71,65,731.048628169014,376.752906153846
"sdP4","co",1,"e",23,20,292.667186956522,610.46667,26,24,772.732465384615,446.46405
"sdP4","co",2,"e",21,17,562.660542857143,603.690864705882,24,23,863.244095833334,356.193056521739
"sdP4","comp",1,"e",45,35,342.649706666667,542.338671428571,58,51,798.710065517241,350.527743137255
"sdP4","comp",2,"e",23,16,432.386226086957,442.84951875,32,28,878.909359375,374.319171428571
"sdP5","comp",2,"e",59,38,273.381933898305,1177.20436578947,91,82,587.618392307692,406.589625609756
"sdP5","solo",1,"e",104,43,362.020048076923,877.200272093023,104,95,712.1976125,445.70159368421
"sdP5","solo",2,"e",107,62,335.023289719626,806.334604838709,106,101,700.584873584906,390.390858415842
"sdP5","co",1,"e",37,25,304.757797297297,751.140644,39,40,676.669543589744,481.274615
"sdP5","co",2,"e",31,18,361.472093548387,702.784605555556,34,37,714.995129411764,417.017497297297
"sdP5","comp",1,"e",73,44,258.775373972603,1026.61247272727,101,94,620.896699009901,391.801785106383
"sdP7","co",2,"e",28,17,358.474364285714,526.085682352941,31,30,806.754225806452,387.890696666667
"sdP7","solo",1,"e",67,28,416.062923880597,875.932432142857,67,68,830.094234328358,343.841777941176
"sdP7","solo",2,"e",74,31,307.397640540541,743.635783870968,86,74,774.129175581396,328.548537837838
"sdP7","co",1,"e",26,11,326.269107692308,774.760027272727,31,28,902.339048387097,361.195132142857
"sdP7","comp",1,"e",61,50,270.263659016393,1144.960058,82,80,658.387082926829,271.65208375
"sdP7","comp",2,"e",54,39,272.078407407407,944.934317948718,81,73,820.573101234568,307.816316438356
"sdP8","comp",2,"c",58,58,309.523786206896,1132.29052931034,81,78,611.201314814815,397.0455
"sdP8","solo",1,"c",80,49,375.8950025,842.272006122449,75,74,780.595667999999,381.424474324324
"sdP8","solo",2,"c",76,40,410.503386842105,840.43124,75,61,783.911102666667,421.031108196721
"sdP8","co",1,"c",33,24,271.023942424242,653.573491666667,37,31,676.511816216216,525.439896774194
"sdP8","co",2,"c",24,23,317.107475,613.54892173913,28,28,617.40625,504.005517857143
"sdP8","comp",1,"c",55,55,334.741790909091,907.120416363637,83,76,551.178086746988,307.041442105263
"sdP9","comp",2,"e",47,52,289.476327659575,1035.65601923077,93,87,639.852095698925,287.335848275862
"sdP9","solo",1,"e",66,42,321.04263030303,937.456776190476,66,58,670.286651515152,395.991210344828
"sdP9","solo",2,"e",63,45,335.786766666667,777.491842222222,71,63,740.492836619718,368.535203174603
"sdP9","co",1,"e",25,17,219.890692,525.584582352941,28,26,785.596467857143,351.249565384615
"sdP9","co",2,"e",27,12,318.636859259259,494.265366666667,28,29,739.519896428572,381.951196551724
"sdP9","comp",1,"e",46,44,345.64655,1042.55374318182,76,63,713.145618421053,306.149317460318
