"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount","grab2PlaceTime","grab2PlaceCount"
"P6","co",2,"e",39,21,738.481823076923,522.662595238095,47,33,1055.5956212766,348.070893939394,1144.22688787879,33,NA,0,842.35361,30,668.856073913043,23,1288.43923611111,27
"P6","comp",1,"e",60,38,312.598546666667,868.520952631579,86,68,809.725453488372,470.90389117647,935.36775,22,637.6207575,40,492.7762275,40,513.598452272728,44,928.657151442308,52
"Py","comp",2,"e",50,40,282.16287,1020.0950625,65,60,637.120630769231,652.685991666667,852.36755,16,435.764315625,32,432.93917,30,404.06677027027,37,1074.42436835106,47
"P7","solo",1,"e",68,47,440.880847058824,547.481187234043,60,59,1063.29535,628.925750847458,697.04802,20,743.765885714286,42,735.555475757576,33,737.12606969697,33,1428.02667025862,58
"P7","solo",2,"e",73,54,352.910120547945,563.417311111111,66,72,945.637322727273,475.037743055556,614.103692857143,28,558.845416666667,36,676.32067027027,37,679.928918421053,38,1080.73546006944,72
"P7","co",1,"e",39,13,660.499002564103,729.280484615384,44,31,782.377875,587.470635483871,894.045180645161,31,NA,0,682.214620588235,34,515.188327777778,18,1336.44225543478,23
"P7","co",2,"e",35,19,785.242722857143,570.672857894737,42,26,715.234878571429,677.496661538462,858.202074285714,35,NA,0,680.494825,36,498.078983333333,6,1440.09696691176,17
"P7","comp",1,"e",51,40,371.721343137255,761.5021275,70,64,801.605101428571,567.4455109375,962.118510526316,19,566.7222,34,591.942866666667,36,506.606121875,32,1081.20686848958,48
"sdP1","comp",2,"e",51,55,350.630666666667,904.372230909091,77,86,745.594103896104,359.958484883721,827.940529166667,24,563.130333333333,33,505.376063636364,33,530.569110526316,38,954.40943877551,49
"sdP1","solo",1,"e",69,43,387.187247826087,530.567011627907,68,62,878.286676470588,427.105980645161,635.216886956522,23,581.825733333333,30,649.735072222222,36,645.50398125,48,987.251890120968,62
"sdP1","co",1,"e",22,22,446.462286363636,383.124881818182,40,31,943.9748725,589.884541935484,829.839052941176,17,NA,0,685.874784615385,26,823.218784210526,19,1339.19602272727,22
"sdP1","co",2,"f",25,17,379.084088,596.673076470588,42,27,873.105873809524,439.27,1047.114,19,NA,0,580.647172413793,29,495.453415789474,19,1074.1328125,24
